match_id,metric,bootstrap_low,bootstrap_high,resamples
J03WMX,median_m,4.964524953297157,5.32638038067558,10000
J03WMX,rho__focal_absolute_path_m,0.6866147906507496,0.7318079612973716,10000
J03WMX,rho__full_defending_outfield_centroid_path_m,0.49037432190976143,0.5519776991568007,10000
J03WMX,rho__sum_defending_outfield_paths_m,0.5597969511825148,0.6138943876405479,10000
J03WMX,rho__ball_path_m,0.4369989600728527,0.4949990369080099,10000
J03WN1,median_m,4.267865908945447,4.581165895447273,10000
J03WN1,rho__focal_absolute_path_m,0.6136739502407813,0.6728880079769862,10000
J03WN1,rho__full_defending_outfield_centroid_path_m,0.38690854023433136,0.4760179490492249,10000
J03WN1,rho__sum_defending_outfield_paths_m,0.5098721930012056,0.580813208780669,10000
J03WN1,rho__ball_path_m,0.4027744398985061,0.4767128295037819,10000
J03WOH,median_m,4.769228992764256,5.093054759211408,10000
J03WOH,rho__focal_absolute_path_m,0.6603652916337729,0.7109496876601398,10000
J03WOH,rho__full_defending_outfield_centroid_path_m,0.45975008231075754,0.529241169471768,10000
J03WOH,rho__sum_defending_outfield_paths_m,0.5392297910642624,0.5983736464827162,10000
J03WOH,rho__ball_path_m,0.42442198758859495,0.48719211476019825,10000
J03WOY,median_m,4.747285231386916,5.120308125931648,10000
J03WOY,rho__focal_absolute_path_m,0.6465512159242451,0.6941818699873422,10000
J03WOY,rho__full_defending_outfield_centroid_path_m,0.4600833662194034,0.5233705016959525,10000
J03WOY,rho__sum_defending_outfield_paths_m,0.5369232625505542,0.5909509147278227,10000
J03WOY,rho__ball_path_m,0.4440721002382147,0.504499987201447,10000
J03WPY,median_m,4.627493459418696,4.943416937396239,10000
J03WPY,rho__focal_absolute_path_m,0.6797258196857912,0.7246637131108582,10000
J03WPY,rho__full_defending_outfield_centroid_path_m,0.47413357077008367,0.5423432134048888,10000
J03WPY,rho__sum_defending_outfield_paths_m,0.5584153593169282,0.613125340677526,10000
J03WPY,rho__ball_path_m,0.40999363402097583,0.4751177861272248,10000
J03WQQ,median_m,5.018106699838337,5.402005170669925,10000
J03WQQ,rho__focal_absolute_path_m,0.6617240424832638,0.7125755354487624,10000
J03WQQ,rho__full_defending_outfield_centroid_path_m,0.42042014856312226,0.4903932147209563,10000
J03WQQ,rho__sum_defending_outfield_paths_m,0.509683848689337,0.5709879899039295,10000
J03WQQ,rho__ball_path_m,0.3742252019858286,0.4436230971968235,10000
J03WR9,median_m,4.9730368139011345,5.309976349352735,10000
J03WR9,rho__focal_absolute_path_m,0.6365325243141041,0.6817220521078817,10000
J03WR9,rho__full_defending_outfield_centroid_path_m,0.39902733008145047,0.4674995082780807,10000
J03WR9,rho__sum_defending_outfield_paths_m,0.49361485302623065,0.5519732952950793,10000
J03WR9,rho__ball_path_m,0.35810334538498806,0.4285997774839236,10000
