match_id,defending_team_id,focal_player_id,observations,median_m,q25_m,q75_m,iqr_m
J03WMX,DFL-CLU-000008,DFL-OBJ-00012X,432,4.850758806390177,2.779511641652279,7.615801021638566,4.836289379986287
J03WMX,DFL-CLU-000008,DFL-OBJ-000270,297,6.258691306504729,4.323689097224475,9.008676173729997,4.684987076505522
J03WMX,DFL-CLU-000008,DFL-OBJ-0002BO,297,5.850145659568772,3.885638666686783,8.797527087501598,4.911888420814815
J03WMX,DFL-CLU-000008,DFL-OBJ-0026ZI,64,3.438478348634262,2.457353594090109,4.765038898739943,2.3076853046498336
J03WMX,DFL-CLU-000008,DFL-OBJ-0027AX,297,5.971260215286917,3.486674013782912,8.045522677414157,4.558848663631245
J03WMX,DFL-CLU-000008,DFL-OBJ-0027B6,432,4.466339152158673,3.1596720484546386,6.275617025864263,3.1159449774096246
J03WMX,DFL-CLU-000008,DFL-OBJ-0027V2,135,4.43646098327386,2.6283084144697852,6.266929036199316,3.6386206217295305
J03WMX,DFL-CLU-000008,DFL-OBJ-0028BD,368,5.938194233201708,3.30524499887554,8.983458851884276,5.678213853008735
J03WMX,DFL-CLU-000008,DFL-OBJ-002G4A,432,5.115461977378224,3.7012409328929,7.228930502256046,3.5276895693631456
J03WMX,DFL-CLU-000008,DFL-OBJ-002G89,135,4.160812951541623,2.433786240191881,6.152432099028554,3.7186458588366733
J03WMX,DFL-CLU-000008,DFL-OBJ-002GBW,64,3.9800216960947408,2.170415397430011,9.060359547427941,6.88994414999793
J03WMX,DFL-CLU-000008,DFL-OBJ-002GKO,432,4.666988257872866,3.159575539484912,6.75294771314015,3.593372173655238
J03WMX,DFL-CLU-000008,DFL-OBJ-J01BGM,368,5.21457419580778,3.1516274199951666,8.178132509387904,5.026505089392737
J03WMX,DFL-CLU-000008,DFL-OBJ-J01D1W,432,4.260192332199111,2.7226763290356826,6.417593966491181,3.694917637455499
J03WMX,DFL-CLU-000008,DFL-OBJ-J01DVC,135,3.380476650716142,2.164380236873947,5.585728243636423,3.4213480067624755
J03WMX,DFL-CLU-00000G,DFL-OBJ-0000IA,193,6.555649662576178,4.640121617723781,8.653613793641611,4.01349217591783
J03WMX,DFL-CLU-00000G,DFL-OBJ-0000RP,38,5.362527307044597,3.6247080017675746,9.070060058875331,5.4453520571077565
J03WMX,DFL-CLU-00000G,DFL-OBJ-000191,18,6.192991111722021,5.5458714790249095,8.319505331303864,2.7736338522789543
J03WMX,DFL-CLU-00000G,DFL-OBJ-0002AU,263,5.518814553119723,3.336182194761078,8.409871661604111,5.0736894668430335
J03WMX,DFL-CLU-00000G,DFL-OBJ-0002F5,263,5.4723573086996335,3.8611645946197948,7.860736058990311,3.999571464370516
J03WMX,DFL-CLU-00000G,DFL-OBJ-0026PM,225,6.128006890852153,4.248834420643783,8.656187604702376,4.407353184058593
J03WMX,DFL-CLU-00000G,DFL-OBJ-0027G0,263,5.005646283183475,3.3239302083163094,7.774783565395303,4.450853357078994
J03WMX,DFL-CLU-00000G,DFL-OBJ-0027G6,263,6.114837751284966,4.037493875826683,9.277608639960029,5.240114764133346
J03WMX,DFL-CLU-00000G,DFL-OBJ-0027KL,263,4.664075091272588,3.443317513690884,7.042490218351425,3.599172704660541
J03WMX,DFL-CLU-00000G,DFL-OBJ-002GCR,20,3.3346837917685654,2.7819612901995416,4.620978121239504,1.8390168310399622
J03WMX,DFL-CLU-00000G,DFL-OBJ-J015S4,69,5.133272641641516,3.4920095909455644,7.716370160876228,4.2243605699306634
J03WMX,DFL-CLU-00000G,DFL-OBJ-J017RE,263,4.767934236525088,3.4542140693115613,6.815757255241728,3.3615431859301665
J03WMX,DFL-CLU-00000G,DFL-OBJ-J01APO,243,5.841202750602499,3.815034044774321,8.938038721079685,5.1230046763053645
J03WMX,DFL-CLU-00000G,DFL-OBJ-J01B8N,225,4.932721981543307,2.978775727729722,7.32005578295664,4.3412800552269175
J03WMX,DFL-CLU-00000G,DFL-OBJ-J01N65,20,2.9749615462694545,2.4402996728273454,5.056215388566642,2.6159157157392965
J03WN1,DFL-CLU-00000B,DFL-OBJ-0001UP,316,4.386689369258065,2.917450686659627,6.572483671895043,3.6550329852354158
J03WN1,DFL-CLU-00000B,DFL-OBJ-0002LI,269,4.0457165061920675,2.6950676579418418,5.924342140315997,3.2292744823741555
J03WN1,DFL-CLU-00000B,DFL-OBJ-002G02,316,4.2041309705294,2.761828632853122,6.038922953843363,3.277094320990241
J03WN1,DFL-CLU-00000B,DFL-OBJ-002G8H,316,3.898323183273824,2.5813299741463434,5.682636770962574,3.101306796816231
J03WN1,DFL-CLU-00000B,DFL-OBJ-002GAR,316,4.124528864569246,2.5104863847210983,5.777828216066602,3.267341831345504
J03WN1,DFL-CLU-00000B,DFL-OBJ-002GBK,316,4.663166456928213,2.959970378282324,7.406572410018575,4.446602031736251
J03WN1,DFL-CLU-00000B,DFL-OBJ-002GOI,316,4.1796415275291885,2.572730270973029,6.807450290608417,4.234720019635388
J03WN1,DFL-CLU-00000B,DFL-OBJ-J013O2,316,3.7940971521120828,2.4424459370497362,6.753304689893999,4.310858752844263
J03WN1,DFL-CLU-00000B,DFL-OBJ-J01B8R,316,4.566233424033735,3.172059127062621,6.192289763347217,3.0202306362845963
J03WN1,DFL-CLU-00000B,DFL-OBJ-J01G0J,47,4.611615624895395,3.1524675256576566,6.3543705338966845,3.201903008239028
J03WN1,DFL-CLU-00000B,DFL-OBJ-J01KDN,12,2.1384364326538714,1.4669907617821238,6.159027161682214,4.692036399900091
J03WN1,DFL-CLU-00000S,DFL-OBJ-00002Z,17,6.552053100117227,4.52373613795685,7.598103565144892,3.074367427188042
J03WN1,DFL-CLU-00000S,DFL-OBJ-0000XU,154,5.5445070834609735,3.683716050574679,7.586645707408072,3.9029296568333933
J03WN1,DFL-CLU-00000S,DFL-OBJ-0000YV,241,5.097897577933645,3.486870145978913,7.149417782294665,3.662547636315752
