match_id,seconds,smoothing_frames,activity_variable,spearman_rho
J03WOH,5,7,focal_absolute_path_m,0.686163534669298
J03WOH,5,7,full_defending_outfield_centroid_path_m,0.4957293302045716
J03WOH,5,7,sum_defending_outfield_paths_m,0.5701760725024313
J03WOH,5,7,ball_path_m,0.45683293951007997
J03WOH,5,9,focal_absolute_path_m,0.6844443868510893
J03WOH,5,9,full_defending_outfield_centroid_path_m,0.49383201070816496
J03WOH,5,9,sum_defending_outfield_paths_m,0.5685537220948068
J03WOH,5,9,ball_path_m,0.4549750244868201
J03WOH,6,5,focal_absolute_path_m,0.6944473380518286
J03WOH,6,5,full_defending_outfield_centroid_path_m,0.49733700959584926
J03WOH,6,5,sum_defending_outfield_paths_m,0.5730921725838113
J03WOH,6,5,ball_path_m,0.4507629747296901
J03WOH,6,7,focal_absolute_path_m,0.6928966250176948
J03WOH,6,7,full_defending_outfield_centroid_path_m,0.49541601874181357
J03WOH,6,7,sum_defending_outfield_paths_m,0.5713996717499336
J03WOH,6,7,ball_path_m,0.44902800404389615
J03WOH,6,9,focal_absolute_path_m,0.6911854462793801
J03WOH,6,9,full_defending_outfield_centroid_path_m,0.493250966543079
J03WOH,6,9,sum_defending_outfield_paths_m,0.5696713074244633
J03WOH,6,9,ball_path_m,0.4470005319969565
J03WOY,4,5,focal_absolute_path_m,0.6512432244065068
J03WOY,4,5,full_defending_outfield_centroid_path_m,0.4744640251429936
J03WOY,4,5,sum_defending_outfield_paths_m,0.5496190389592602
J03WOY,4,5,ball_path_m,0.44908377582279035
J03WOY,4,7,focal_absolute_path_m,0.6489725822719102
J03WOY,4,7,full_defending_outfield_centroid_path_m,0.4722011854732039
J03WOY,4,7,sum_defending_outfield_paths_m,0.5477274444887753
J03WOY,4,7,ball_path_m,0.4463479322914984
J03WOY,4,9,focal_absolute_path_m,0.6465368638450779
J03WOY,4,9,full_defending_outfield_centroid_path_m,0.46970964186949377
J03WOY,4,9,sum_defending_outfield_paths_m,0.5456019902937399
J03WOY,4,9,ball_path_m,0.4435225966748057
J03WOY,5,5,focal_absolute_path_m,0.672846858471864
J03WOY,5,5,full_defending_outfield_centroid_path_m,0.49504616791341255
J03WOY,5,5,sum_defending_outfield_paths_m,0.5667802353889211
J03WOY,5,5,ball_path_m,0.4771977502628404
J03WOY,5,7,focal_absolute_path_m,0.670912688899459
J03WOY,5,7,full_defending_outfield_centroid_path_m,0.4928836989740344
J03WOY,5,7,sum_defending_outfield_paths_m,0.5650179247569439
J03WOY,5,7,ball_path_m,0.47530233047490883
J03WOY,5,9,focal_absolute_path_m,0.6688052287675778
J03WOY,5,9,full_defending_outfield_centroid_path_m,0.4906940865046156
J03WOY,5,9,sum_defending_outfield_paths_m,0.5629686779300404
J03WOY,5,9,ball_path_m,0.47331484379360245
J03WOY,6,5,focal_absolute_path_m,0.6961044128600582
J03WOY,6,5,full_defending_outfield_centroid_path_m,0.5224264082107524
J03WOY,6,5,sum_defending_outfield_paths_m,0.5900769851685095
J03WOY,6,5,ball_path_m,0.49168029407591546
J03WOY,6,7,focal_absolute_path_m,0.6947075818864762
J03WOY,6,7,full_defending_outfield_centroid_path_m,0.5210711961928604
J03WOY,6,7,sum_defending_outfield_paths_m,0.5888130923732994
J03WOY,6,7,ball_path_m,0.4902808923807546
J03WOY,6,9,focal_absolute_path_m,0.6931600406098447
J03WOY,6,9,full_defending_outfield_centroid_path_m,0.5195180291091492
J03WOY,6,9,sum_defending_outfield_paths_m,0.587430861592522
J03WOY,6,9,ball_path_m,0.4886671899296537
J03WPY,4,5,focal_absolute_path_m,0.6839538983894821
J03WPY,4,5,full_defending_outfield_centroid_path_m,0.4917438862176415
J03WPY,4,5,sum_defending_outfield_paths_m,0.5713657447270897
J03WPY,4,5,ball_path_m,0.43962608737363107
J03WPY,4,7,focal_absolute_path_m,0.6822237462584966
J03WPY,4,7,full_defending_outfield_centroid_path_m,0.4896388701839752
J03WPY,4,7,sum_defending_outfield_paths_m,0.5694538251255915
J03WPY,4,7,ball_path_m,0.4378603987957498
J03WPY,4,9,focal_absolute_path_m,0.6802369794885287
J03WPY,4,9,full_defending_outfield_centroid_path_m,0.4874703131664589
J03WPY,4,9,sum_defending_outfield_paths_m,0.5676082796625368
J03WPY,4,9,ball_path_m,0.43556017299638633
J03WPY,5,5,focal_absolute_path_m,0.7039948631731303
J03WPY,5,5,full_defending_outfield_centroid_path_m,0.5105458105859237
J03WPY,5,5,sum_defending_outfield_paths_m,0.5877059580615474
J03WPY,5,5,ball_path_m,0.4447972839921903
J03WPY,5,7,focal_absolute_path_m,0.7024980099852954
J03WPY,5,7,full_defending_outfield_centroid_path_m,0.5090561086489009
J03WPY,5,7,sum_defending_outfield_paths_m,0.5864165899274684
J03WPY,5,7,ball_path_m,0.4431454598199717
J03WPY,5,9,focal_absolute_path_m,0.7008092650889501
J03WPY,5,9,full_defending_outfield_centroid_path_m,0.5074788159153055
J03WPY,5,9,sum_defending_outfield_paths_m,0.584971212395309
J03WPY,5,9,ball_path_m,0.44142096910843803
J03WPY,6,5,focal_absolute_path_m,0.7179203090387045
J03WPY,6,5,full_defending_outfield_centroid_path_m,0.5251353153302359
J03WPY,6,5,sum_defending_outfield_paths_m,0.5993565176664106
J03WPY,6,5,ball_path_m,0.4632437889801215
J03WPY,6,7,focal_absolute_path_m,0.716969650337163
J03WPY,6,7,full_defending_outfield_centroid_path_m,0.5237134652738786
J03WPY,6,7,sum_defending_outfield_paths_m,0.5982266487083695
J03WPY,6,7,ball_path_m,0.462200133459389
J03WPY,6,9,focal_absolute_path_m,0.7156254957226488
J03WPY,6,9,full_defending_outfield_centroid_path_m,0.522191107158108
J03WPY,6,9,sum_defending_outfield_paths_m,0.5967976640184963
J03WPY,6,9,ball_path_m,0.4605078003211959
J03WQQ,4,5,focal_absolute_path_m,0.6782487846476261
J03WQQ,4,5,full_defending_outfield_centroid_path_m,0.4464061578103307
J03WQQ,4,5,sum_defending_outfield_paths_m,0.5364854690707626
J03WQQ,4,5,ball_path_m,0.4105083366732493
J03WQQ,4,7,focal_absolute_path_m,0.67640663353501
J03WQQ,4,7,full_defending_outfield_centroid_path_m,0.4446459230311181
J03WQQ,4,7,sum_defending_outfield_paths_m,0.5352746746175507
J03WQQ,4,7,ball_path_m,0.40834040457772275
J03WQQ,4,9,focal_absolute_path_m,0.6742801028333003
J03WQQ,4,9,full_defending_outfield_centroid_path_m,0.4429168101878892
J03WQQ,4,9,sum_defending_outfield_paths_m,0.5338435464911601
J03WQQ,4,9,ball_path_m,0.40641502920665257
J03WQQ,5,5,focal_absolute_path_m,0.6897875079276581
J03WQQ,5,5,full_defending_outfield_centroid_path_m,0.4580793957497338
J03WQQ,5,5,sum_defending_outfield_paths_m,0.5433157185879743
J03WQQ,5,5,ball_path_m,0.4123037329353083
J03WQQ,5,7,focal_absolute_path_m,0.6882763615349143
J03WQQ,5,7,full_defending_outfield_centroid_path_m,0.45695815675094836
J03WQQ,5,7,sum_defending_outfield_paths_m,0.542316595596375
J03WQQ,5,7,ball_path_m,0.410473135281527
J03WQQ,5,9,focal_absolute_path_m,0.6864973650785198
J03WQQ,5,9,full_defending_outfield_centroid_path_m,0.4554315704768728
J03WQQ,5,9,sum_defending_outfield_paths_m,0.5410878044029284
J03WQQ,5,9,ball_path_m,0.4081315312144189
J03WQQ,6,5,focal_absolute_path_m,0.7172693397461783
J03WQQ,6,5,full_defending_outfield_centroid_path_m,0.4776243332079146
J03WQQ,6,5,sum_defending_outfield_paths_m,0.5660889355499947
J03WQQ,6,5,ball_path_m,0.42503165389814246
J03WQQ,6,7,focal_absolute_path_m,0.7159362384955688
J03WQQ,6,7,full_defending_outfield_centroid_path_m,0.476261359691025
J03WQQ,6,7,sum_defending_outfield_paths_m,0.5650721993761615
J03WQQ,6,7,ball_path_m,0.4234100474273136
J03WQQ,6,9,focal_absolute_path_m,0.714411625806639
J03WQQ,6,9,full_defending_outfield_centroid_path_m,0.47480754229822125
J03WQQ,6,9,sum_defending_outfield_paths_m,0.5637796601115435
J03WQQ,6,9,ball_path_m,0.42166944728270006
J03WR9,4,5,focal_absolute_path_m,0.634409225811739
J03WR9,4,5,full_defending_outfield_centroid_path_m,0.41138069630024887
J03WR9,4,5,sum_defending_outfield_paths_m,0.5072971587310724
J03WR9,4,5,ball_path_m,0.38331888523540486
J03WR9,4,7,focal_absolute_path_m,0.6320117671479535
J03WR9,4,7,full_defending_outfield_centroid_path_m,0.40933832406056947
J03WR9,4,7,sum_defending_outfield_paths_m,0.505316572937833
J03WR9,4,7,ball_path_m,0.380525395843438
J03WR9,4,9,focal_absolute_path_m,0.6294535800754253
J03WR9,4,9,full_defending_outfield_centroid_path_m,0.4071711999253739
J03WR9,4,9,sum_defending_outfield_paths_m,0.5031615002247051
J03WR9,4,9,ball_path_m,0.377719023913996
J03WR9,5,5,focal_absolute_path_m,0.6615955967075928
J03WR9,5,5,full_defending_outfield_centroid_path_m,0.43637763154795434
J03WR9,5,5,sum_defending_outfield_paths_m,0.5260425983470847
J03WR9,5,5,ball_path_m,0.3968641050921377
J03WR9,5,7,focal_absolute_path_m,0.6595970605621913
J03WR9,5,7,full_defending_outfield_centroid_path_m,0.4344832265664597
J03WR9,5,7,sum_defending_outfield_paths_m,0.5244149054230403
J03WR9,5,7,ball_path_m,0.39466339391322114
J03WR9,5,9,focal_absolute_path_m,0.65738185643849
J03WR9,5,9,full_defending_outfield_centroid_path_m,0.4325200164828616
J03WR9,5,9,sum_defending_outfield_paths_m,0.5225352985161613
J03WR9,5,9,ball_path_m,0.39236403470475073
J03WR9,6,5,focal_absolute_path_m,0.674280538972359
J03WR9,6,5,full_defending_outfield_centroid_path_m,0.4478626076122324
J03WR9,6,5,sum_defending_outfield_paths_m,0.5362295780876879
J03WR9,6,5,ball_path_m,0.4079386083878479
J03WR9,6,7,focal_absolute_path_m,0.6723206017315194
J03WR9,6,7,full_defending_outfield_centroid_path_m,0.44611296440268794
J03WR9,6,7,sum_defending_outfield_paths_m,0.534519588978462
J03WR9,6,7,ball_path_m,0.40603494160702
J03WR9,6,9,focal_absolute_path_m,0.6700380411497293
J03WR9,6,9,full_defending_outfield_centroid_path_m,0.44386739133771785
J03WR9,6,9,sum_defending_outfield_paths_m,0.5326899886352284
J03WR9,6,9,ball_path_m,0.4038113883734868
