match_id,defending_team_id,observations,median_m,q25_m,q75_m,iqr_m
J03WMX,DFL-CLU-000008,4320,4.9570387445531905,3.130617558432801,7.489290682894072,4.358673124461271
J03WMX,DFL-CLU-00000G,2629,5.49316979207325,3.654578453754802,8.002977689562552,4.348399235807751
J03WN1,DFL-CLU-00000B,2856,4.237076413076272,2.726112454485537,6.311796396981822,3.585683942496285
J03WN1,DFL-CLU-00000S,2580,4.665127271146978,3.0826889271094773,7.000179703820827,3.9174907767113494
J03WOH,DFL-CLU-00000P,2600,5.227751007608255,3.4321945560411313,7.791208210582552,4.359013654541421
J03WOH,DFL-CLU-000011,3516,4.720309050514311,2.989308043883678,7.2341881472565,4.244880103372822
J03WOY,DFL-CLU-00000P,3306,4.851374292910252,3.285066966104286,7.388126836112249,4.1030598700079635
J03WOY,DFL-CLU-00000Q,3039,5.046513876656534,3.20410980390682,7.4810218876498285,4.276912083743008
J03WPY,DFL-CLU-000005,4467,4.702749943288516,2.9770138238725368,7.1958494206256,4.218835596753063
J03WPY,DFL-CLU-00000P,2610,4.906294325285058,3.1088618200452163,7.350771839654454,4.241910019609238
J03WQQ,DFL-CLU-00000H,2650,4.859575076153092,3.2399114099479265,7.310362337166787,4.070450927218861
J03WQQ,DFL-CLU-00000P,3648,5.483970295079192,3.454989439415667,8.33227138452494,4.8772819451092735
J03WR9,DFL-CLU-00000I,4119,5.2072700594738714,3.482819434651311,7.535600312833787,4.052780878182476
J03WR9,DFL-CLU-00000P,2439,5.008706456747422,3.273506299571099,7.679761765650139,4.40625546607904
