match_id,metrica_bin__focal_absolute_path_m,metrica_bin__full_defending_outfield_centroid_path_m,observations,median_m
J03WMX,high,high,1064,7.902572158403235
J03WMX,high,low,148,12.686763272175845
J03WMX,high,middle,363,10.33217179940749
J03WMX,low,high,97,7.950232837040276
J03WMX,low,low,3492,3.645648644840219
J03WMX,low,middle,245,5.7114424032795155
J03WMX,middle,high,429,5.876454128373694
J03WMX,middle,low,529,7.727007730339395
J03WMX,middle,middle,582,5.518158144017427
J03WN1,high,high,416,7.711298416119391
J03WN1,high,low,107,12.95822613835843
J03WN1,high,middle,214,10.744217434787245
J03WN1,low,high,35,9.703113380530915
J03WN1,low,low,3398,3.5297065053593144
J03WN1,low,middle,276,5.024161988283767
J03WN1,middle,high,178,6.044298707637985
J03WN1,middle,low,467,7.134377863949882
J03WN1,middle,middle,345,4.771607311150074
J03WOH,high,high,977,7.397566740350124
J03WOH,high,low,172,12.771252821868153
J03WOH,high,middle,226,10.489486246764447
J03WOH,low,high,51,9.231116270597148
J03WOH,low,low,3285,3.5916549606804367
J03WOH,low,middle,222,5.002598427684804
J03WOH,middle,high,342,6.233971038043328
J03WOH,middle,low,449,7.35276256034339
J03WOH,middle,middle,392,5.510401690704807
J03WOY,high,high,909,7.294283300765583
J03WOY,high,low,143,13.46863478130325
J03WOY,high,middle,334,10.160231839282552
J03WOY,low,high,71,8.318086128158198
J03WOY,low,low,3161,3.572612398689614
J03WOY,low,middle,335,5.211103631388079
J03WOY,middle,high,340,5.916781844981003
J03WOY,middle,low,421,7.267853759493324
J03WOY,middle,middle,631,5.448413659962784
J03WPY,high,high,895,7.722961609308296
J03WPY,high,low,148,13.518581013589102
J03WPY,high,middle,379,10.26985448616488
J03WPY,low,high,62,8.129213150739002
J03WPY,low,low,3660,3.4097914159169758
J03WPY,low,middle,377,5.109694693644388
J03WPY,middle,high,313,5.736486239057198
J03WPY,middle,low,509,7.2176948500299165
J03WPY,middle,middle,734,4.995249448050346
J03WQQ,high,high,842,7.436213204974575
J03WQQ,high,low,175,13.494461861478898
J03WQQ,high,middle,391,10.564019236405821
J03WQQ,low,high,62,8.29361885400414
J03WQQ,low,low,2949,3.5591478574018214
J03WQQ,low,middle,313,5.353754832161604
J03WQQ,middle,high,349,5.830499251309212
J03WQQ,middle,low,571,7.713657188260064
J03WQQ,middle,middle,646,5.608364169577293
J03WR9,high,high,604,7.998734098194856
J03WR9,high,low,138,12.799132104746654
J03WR9,high,middle,429,9.946406747065643
J03WR9,low,high,48,8.972425998968564
J03WR9,low,low,3135,3.658158649505432
J03WR9,low,middle,416,5.190319563225116
J03WR9,middle,high,298,5.786385329937298
J03WR9,middle,low,725,7.2212982144724975
J03WR9,middle,middle,765,5.508118268346382
