heldout_match_id,training_rows,model_rank,outward_minus_goalward_m_per_m
J03WMX,53955,15,0.05544002011740613
J03WN1,60537,15,0.05567479057681406
J03WOH,54952,15,0.06039426973021081
J03WOY,54708,15,0.05757014775578959
J03WPY,53892,15,0.05596327752408041
J03WQQ,56123,15,0.05844710936153688
J03WR9,54663,15,0.05457493189672351
