match_id,rows,model_rank,beta_goalward_m_per_m,beta_outward_m_per_m,outward_minus_goalward_m_per_m
J03WMX,10850,10,-0.03249808688893021,0.03340142021048527,0.06589950709941547
J03WN1,4268,10,-0.04151626816231127,0.022965048584681062,0.06448131674699234
J03WOH,9853,10,-0.01339744847257881,0.022697126047618605,0.03609457452019742
J03WOY,10097,10,-0.02417288825762639,0.028826200996008165,0.05299908925363456
J03WPY,10913,10,-0.020441168033126594,0.04188192773784905,0.062323095770975646
J03WQQ,8682,10,-0.01739953179131527,0.030584490461504063,0.047984022252819336
J03WR9,10142,10,-0.025340403137069447,0.04649944994687299,0.07183985308394243
