candidate,quantity,n,min,q1,median,q3,max
A_closed_baseline,duration_s,38651,0.9999999999999964,1.319999999999709,1.8800000000001091,2.7599999999997635,51.16
A_closed_baseline,path_m,38651,0.007601584885203605,1.3244118730167624,2.649950429211799,5.647292141260893,63.29229286803714
A_closed_baseline,displacement_m,38651,0.001311064375197049,1.2966575503318283,2.5755875524625527,5.467873331818957,61.53374424638628
A_closed_baseline,peak_speed_mps,38651,0.008935425940630093,1.0854538067899133,1.6643552116079825,3.20160802178419,56.29511723942216
A_closed_baseline,displacement_path_ratio,38651,0.014701573034571853,0.962202278350584,0.9872112421553164,0.9972457402361647,1.0
A_closed_baseline,absolute_heading_change_deg,38651,0.0,13.052292583039108,31.160811191953496,61.82420653077797,953.7612602435272
B_direction_aware,duration_s,31965,0.9999999999999964,1.5999999999994543,2.3200000000001637,3.3200000000006185,51.11999999999999
B_direction_aware,path_m,31965,0.007976864871608811,1.569286769909852,3.39440491051473,6.9511153212353225,63.29229286803714
B_direction_aware,displacement_m,31965,0.001311064375197049,1.518342387248781,3.2943078836972375,6.711737176814255,61.53374424638628
B_direction_aware,peak_speed_mps,31965,0.010456176770323962,1.1254642041164071,1.779620746115565,3.3254152119174516,27.88704836435546
B_direction_aware,displacement_path_ratio,31965,0.024333709107064023,0.9556935223558658,0.9810443665359495,0.9931887941221418,1.0
B_direction_aware,absolute_heading_change_deg,31965,0.0,26.79744889020798,42.208578423738054,70.18681225499641,825.4391310883258
