team,player,period,block_id,frames,start_s,end_s
Home,2,2,Home_2_2_68,815,4531.76,4564.32
Home,2,2,Home_2_2_69,5598,4583.88,4807.76
Home,2,2,Home_2_2_70,3485,4931.52,5070.88
Home,2,2,Home_2_2_71,2441,5071.32,5168.92
Home,2,2,Home_2_2_72,4000,5169.36,5329.32
Home,2,2,Home_2_2_73,1837,5329.76,5403.2
Home,2,2,Home_2_2_74,3444,5403.64,5541.36
Home,2,2,Home_2_2_75,1019,5541.8,5582.52
Home,2,2,Home_2_2_76,479,5582.96,5602.08
Home,2,2,Home_2_2_77,394,5645.72,5661.44
Home,2,2,Home_2_2_78,1096,5700.88,5744.68
Home,2,2,Home_2_2_79,1376,5745.12,5800.12
Home,3,1,Home_3_1_0,1365,0.24,54.8
Home,3,1,Home_3_1_1,1524,85.92,146.84
Home,3,1,Home_3_1_2,410,147.2,163.56
Home,3,1,Home_3_1_3,357,175.64,189.88
Home,3,1,Home_3_1_4,3688,202.48,349.96
Home,3,1,Home_3_1_5,222,354.92,363.76
Home,3,1,Home_3_1_6,411,368.8,385.2
Home,3,1,Home_3_1_7,1191,415.68,463.28
Home,3,1,Home_3_1_8,439,463.64,481.16
Home,3,1,Home_3_1_9,1242,505.64,555.28
Home,3,1,Home_3_1_10,1335,583.16,636.52
Home,3,1,Home_3_1_11,546,636.88,658.68
Home,3,1,Home_3_1_12,32,691.24,692.48
Home,3,1,Home_3_1_13,1405,728.32,784.48
Home,3,1,Home_3_1_14,1732,806.04,875.28
Home,3,1,Home_3_1_15,488,999.4,1018.88
Home,3,1,Home_3_1_16,221,1019.24,1028.04
Home,3,1,Home_3_1_17,2034,1061.96,1143.28
Home,3,1,Home_3_1_18,1572,1151.72,1214.56
Home,3,1,Home_3_1_19,1962,1214.92,1293.36
Home,3,1,Home_3_1_20,508,1293.72,1314.0
Home,3,1,Home_3_1_21,1423,1366.64,1423.52
Home,3,1,Home_3_1_22,175,1461.6,1468.56
Home,3,1,Home_3_1_23,1254,1475.4,1525.52
Home,3,1,Home_3_1_24,4326,1525.88,1698.88
Home,3,1,Home_3_1_25,234,1699.24,1708.56
Home,3,1,Home_3_1_26,1149,1724.72,1770.64
Home,3,1,Home_3_1_27,585,1771.0,1794.36
Home,3,1,Home_3_1_28,713,1804.76,1833.24
Home,3,1,Home_3_1_29,158,1833.6,1839.88
Home,3,1,Home_3_1_30,18,1859.6,1860.28
Home,3,1,Home_3_1_31,1128,1886.04,1931.12
