candidate,episodes,fragmentation_n,fragmentation_pct,merging_direction_n,merging_direction_pct,short_n,tiny_path_n,tiny_displacement_n,long_n,low_directness_n,direction_complex_n,lower_speed_displacement_ge3_n,lower_speed_coverage_share,no_high_speed_overlap_n,no_high_speed_overlap_pct,fragmentation_relative_reduction_pct,lower_speed_relative_change_pct
A_closed_baseline,38651,16320,42.22400455356912,763,1.9740757030865954,13693,6694,3698,141,268,424,15845,0.4099505834260433,37383,96.71936043051926,,
B_direction_aware,31965,9193,28.75958079149069,847,2.6497731894259346,6982,4616,2557,288,235,380,15551,0.4865008603159706,30776,96.28030658532771,31.888078604662574,18.67304987107972
