team,player,max_raw_speed_mps,raw_peak_period,raw_peak_frame,raw_peak_time_s,max_smooth_speed_mps,smooth_peak_period,smooth_peak_frame,smooth_peak_time_s,max_abs_smooth_acceleration_mps2,supported_raw_steps,supported_smoothed_steps
Away,15,63.82049063590322,1,17564,702.56,12.788216976155127,1,17561,702.44,248.036468800327,145004,144992
Away,16,9.509125120780572,1,71129,2845.16,8.558006079843043,2,107652,4306.08,41.38299559707638,145004,144992
Away,17,43.69495787846423,1,2415,96.6,10.453148212987793,2,140099,5603.96,170.87656474189515,145004,144992
Away,18,34.44063910922898,1,20494,819.76,27.887048364355582,1,20492,819.68,161.5210096849542,145004,144992
Away,19,20.535213664541242,1,18311,732.44,13.3232655302048,1,18305,732.2,128.528843042681,119379,119367
Away,20,48.272552076767475,2,114660,4586.4,17.482882789114143,2,88765,3550.6,168.5625253192543,145004,144992
Away,21,10.506995172869432,2,124191,4967.64,8.313847162671458,2,75442,3017.68,42.96775156844201,145004,144992
Away,22,236.01375000021466,2,71287,2851.48,151.469936775546,2,71290,2851.6,794.3326376043647,106867,106855
Away,23,11.61780018980563,1,64340,2573.6,10.767592073565872,2,95972,3838.88,33.868674168100846,145004,144992
Away,24,30.95067328127527,2,95129,3805.16,25.272903888155305,1,16910,676.4,183.5473276775498,106597,106585
Away,26,15.650741246081846,2,115663,4626.52,12.79425105292994,2,115665,4626.6,57.506472391463994,38407,38401
Away,27,7.972938997014826,2,135690,5427.6,7.919427781673588,2,135689,5427.56,9.337027970295928,38137,38131
Away,28,7.353557659398459,2,121933,4877.32,7.275107106659095,2,121930,4877.2,45.26273218265675,25625,25619
Home,1,8.458374311895183,1,42096,1683.84,7.300042056843536,1,20599,823.96,25.562503798789063,46705,46699
Home,10,70.4387669468912,1,2944,117.76,56.295117239421835,1,2942,117.68,264.72747153670076,121390,121378
Home,12,10.358675940977953,2,144780,5791.2,8.827526933136216,2,144778,5791.12,39.73737691089429,98299,98287
Home,13,8.969834167929102,2,143451,5738.04,8.951521862481613,2,143449,5737.96,21.99666021000768,34157,34151
Home,14,7.109667871995724,2,135656,5426.24,7.093341607058403,2,135657,5426.28,23.300634858507937,23614,23608
Home,2,27.82250986613899,2,76686,3067.44,22.17201399542079,2,76688,3067.52,163.7254355932262,145004,144992
Home,3,557.0250000005067,2,71279,2851.16,300.9539032180309,2,71282,2851.28,1850.2500000033658,145004,144992
Home,4,9.710282723107236,2,120296,4811.84,9.362049805606524,2,120299,4811.96,30.03888930957775,145004,144992
Home,5,12.517021770384808,2,90492,3619.68,11.138122181719813,2,81551,3262.04,36.425672442805556,145004,144992
Home,6,8.014144121496376,1,53661,2146.44,7.340983293514282,2,104244,4169.76,46.2279401153285,110847,110835
Home,7,10.825451286792312,1,46167,1846.68,9.160892620443178,1,2487,99.48,54.528033388668305,145004,144992
Home,8,30.925518670900974,1,18282,731.28,27.216970481229026,1,35240,1409.6,128.38456802982975,145004,144992
Home,9,37.85045385783994,1,18458,738.32,20.113969032743352,1,2840,113.6,135.88656124578233,145004,144992
