team,player,period,frame,time_s,raw_x_norm,raw_y_norm,raw_x_m,raw_y_m,dt_s,frame_step,same_period,contiguous,raw_dx_m,raw_dy_m,raw_displacement_m,raw_speed_mps,smooth_x_m,smooth_y_m,smooth_dx_m,smooth_dy_m,smooth_displacement_m,smooth_speed_mps,smooth_acceleration_mps2
Home,10,1,2892,115.68,0.83015,0.33404,87.16575,22.71472,0.04000000000000625,1.0,True,True,-0.20369999999999777,0.1944800000000022,0.28163124897638747,7.040781224408586,87.1701,22.714914285714286,-0.20189999999999486,0.19098285714285979,0.27791736491707014,6.947934122925667,-0.7359659005960544
Home,10,1,2893,115.72,0.82824,0.33689,86.9652,22.908520000000003,0.03999999999999204,1.0,True,True,-0.2005500000000069,0.19380000000000308,0.27888840510140245,6.9722101275364485,86.97029999999998,22.90599428571429,-0.19980000000002462,0.19108000000000303,0.276462667280794,6.911566682021225,-0.9091860226112335
Home,10,1,2894,115.76,0.82634,0.33973,86.7657,23.10164,0.04000000000000625,1.0,True,True,-0.19950000000000045,0.19311999999999685,0.2776609162269673,6.941522905673097,86.77245,23.09726857142857,-0.1978499999999741,0.1912742857142824,0.275191705680783,6.8797926420185,-0.7943510000680034
Home,10,1,2895,115.8,0.8245,0.3425,86.5725,23.290000000000003,0.03999999999999204,1.0,True,True,-0.19319999999999027,0.18836000000000297,0.26982536871094487,6.745634217774964,86.57669999999999,23.288639999999997,-0.19575000000001808,0.19137142857142564,0.27375369618230794,6.8438424045590605,-0.8987559364861631
Home,10,1,2896,115.84,0.82267,0.34525,86.38035,23.477,0.04000000000000625,1.0,True,True,-0.19214999999999804,0.1869999999999976,0.2681242668987616,6.703106672467992,86.38289999999999,23.48010857142857,-0.19379999999999598,0.19146857142857243,0.27243100749528637,6.810775187381094,-0.8266804294490266
Home,10,1,2897,115.88,0.82084,0.34807,86.1882,23.66876,0.03999999999999204,1.0,True,True,-0.19215000000001226,0.1917599999999986,0.27146550443841694,6.786637610961773,86.19089999999998,23.67167428571429,-0.19200000000000728,0.19156571428571922,0.27122209144868825,6.780552286218556,-0.7555725290636144
Home,10,1,2898,115.92,0.81904,0.35088,85.9992,23.859840000000002,0.04000000000000625,1.0,True,True,-0.18899999999999295,0.19108000000000303,0.26876116981438836,6.719029245358659,86.00070000000002,23.863337142857144,-0.19019999999996173,0.19166285714285536,0.2700197970670818,6.75049492667599,-0.7514339885640255
Home,10,1,2899,115.96,0.81723,0.35375,85.80915,24.055,0.03999999999999204,1.0,True,True,-0.19004999999999939,0.19515999999999778,0.2724085683307317,6.810214208269647,85.812,24.055777142857142,-0.18870000000002563,0.19243999999999772,0.26951965345779294,6.737991336446164,-0.31258975574570247
Home,10,1,2900,116.0,0.81544,0.35661,85.6212,24.24948,0.04000000000000625,1.0,True,True,-0.18795000000000073,0.19447999999999865,0.2704582646176666,6.761456615440608,85.62465,24.248994285714282,-0.18734999999999502,0.1932171428571401,0.26913358540671695,6.728339635166872,-0.241292531982269
Home,10,1,2901,116.04,0.81366,0.35946,85.43430000000001,24.44328,0.04000000000000625,1.0,True,True,-0.1868999999999943,0.19380000000000308,0.26923976303658986,6.730994075913695,85.43925,24.44153142857143,-0.18540000000000134,0.19253714285714807,0.26728956466647613,6.682239116660859,-1.1525129626501516
Home,10,1,2902,116.08,0.81192,0.36231,85.2516,24.63708,0.03999999999999204,1.0,True,True,-0.1827000000000112,0.19379999999999953,0.2663413786853329,6.658534467134648,85.2555,24.633485714285715,-0.1837500000000034,0.19195428571428508,0.26572638240130136,6.6431595600338555,-0.9769889156752755
Home,10,1,2903,116.12,0.81018,0.36514,85.0689,24.829520000000002,0.04000000000000625,1.0,True,True,-0.18269999999999698,0.19244000000000128,0.2653534314833697,6.633835787083206,85.0737,24.824177142857142,-0.18179999999999552,0.1906914285714265,0.2634662424877423,6.586656062192528,-1.412587446032966
Home,10,1,2904,116.16,0.80848,0.36789,84.8904,25.01652,0.03999999999999204,1.0,True,True,-0.17849999999999966,0.1869999999999976,0.2585174075376724,6.462935188443096,84.89415,25.01292571428571,-0.1795500000000061,0.18874857142856882,0.26050763082168577,6.51269077054344,-1.8491322912275747
Home,10,1,2905,116.2,0.80679,0.37064,84.71295,25.20352,0.04000000000000625,1.0,True,True,-0.17744999999999322,0.18700000000000117,0.2577935268776119,6.44483817193929,84.71759999999999,25.197885714285714,-0.17655000000000598,0.1849600000000038,0.25569533452920784,6.392383363229197,-3.007685182855609
Home,10,1,2906,116.24,0.80511,0.37338,84.53655,25.38984,0.03999999999999204,1.0,True,True,-0.176400000000001,0.1863199999999985,0.25657767322976444,6.414441830745387,84.54390000000001,25.378377142857143,-0.17369999999998242,0.18049142857142897,0.2504971971654556,6.262429929137636,-3.2488358522896577
Home,10,1,2907,116.28,0.80347,0.37604,84.36435,25.570719999999998,0.04000000000000625,1.0,True,True,-0.17220000000000368,0.18087999999999838,0.2497406943211312,6.243517358027304,84.3741,25.55265142857143,-0.16980000000000928,0.1742742857142865,0.24331783054521078,6.0829457636293185,-4.487104137707241
Home,10,1,2908,116.32,0.80189,0.3785,84.19845,25.738,0.03999999999999204,1.0,True,True,-0.1659000000000077,0.16728000000000165,0.23559585819789597,5.889896454948571,84.20835000000001,25.719445714285712,-0.16574999999998852,0.1667942857142819,0.2351454788996244,5.87863697249178,-5.107719778439485
Home,10,1,2909,116.36,0.80034,0.38089,84.0357,25.90052,0.04000000000000625,1.0,True,True,-0.1627499999999884,0.16252000000000066,0.2300006802163777,5.7500170054085435,84.04769999999999,25.87633142857143,-0.16065000000001817,0.15688571428571763,0.22454743340093128,5.613685835022404,-6.623778436733349
Home,10,1,2910,116.4,0.79886,0.38308,83.8803,26.049439999999997,0.04000000000000625,1.0,True,True,-0.1554000000000002,0.14891999999999683,0.2152355137982557,5.380887844955551,83.89275,26.021365714285714,-0.15494999999998527,0.145034285714285,0.21223676998260288,5.305919249564242,-7.694164636452846
Home,10,1,2911,116.44,0.79743,0.38506,83.73015,26.18408,0.03999999999999204,1.0,True,True,-0.15015000000001066,0.13464000000000453,0.201675363145835,5.041884078646878,83.7432,26.15416,-0.14955000000000496,0.13279428571428653,0.1999988120423945,4.999970301060857,-7.648723712586148
Home,10,1,2912,116.48,0.79608,0.38679,83.58840000000001,26.301720000000003,0.04000000000000625,1.0,True,True,-0.1417499999999876,0.11764000000000152,0.18420703596767646,4.605175899191192,83.59905,26.274617142857146,-0.14414999999999623,0.12045714285714482,0.18785405442871206,4.696351360717068,-7.590473508593555
Home,10,1,2913,116.52,0.79478,0.38831,83.45190000000001,26.405079999999998,0.03999999999999204,1.0,True,True,-0.13649999999999807,0.10335999999999501,0.17121781332559544,4.2804453331407375,83.46029999999999,26.38157142857143,-0.13875000000001592,0.10695428571428423,0.17518784698904533,4.3796961747270045,-7.916379649753156
Home,10,1,2914,116.56,0.7935,0.38971,83.3175,26.50028,0.04000000000000625,1.0,True,True,-0.13440000000001362,0.09520000000000195,0.16470094110236297,4.117523527558431,83.32665,26.476480000000002,-0.13364999999998872,0.09490857142857223,0.1639205887941151,4.098014719852237,-7.042036371868075
Home,10,1,2915,116.6,0.79228,0.3909,83.18939999999999,26.581200000000003,0.03999999999999204,1.0,True,True,-0.12810000000000343,0.08092000000000255,0.15151784185369488,3.7879460463431256,83.19794999999999,26.559537142857145,-0.12870000000000914,0.08305714285714316,0.1531736889272901,3.8293422231830148,-6.716812416731903
Home,10,1,2916,116.64,0.79109,0.3919,83.06445,26.6492,0.04000000000000625,1.0,True,True,-0.12494999999999834,0.06799999999999784,0.14225506142137542,3.5563765355338295,83.07270000000001,26.633462857142856,-0.12524999999997988,0.0739257142857106,0.14543924412842457,3.635981103210046,-4.834027999323464
Home,10,1,2917,116.68,0.78995,0.39285,82.94475,26.7138,0.04000000000000625,1.0,True,True,-0.11969999999999459,0.06459999999999866,0.13601930010111996,3.4004825025274674,82.95015000000001,26.699714285714286,-0.12255000000000393,0.06625142857143018,0.1393117162616134,3.4827929065397907,-3.8297049167557837
Home,10,1,2918,116.72,0.78885,0.39361,82.82925,26.76548,0.03999999999999204,1.0,True,True,-0.11549999999999727,0.05168000000000106,0.12653486634125582,3.163371658532025,82.82985,26.75974857142857,-0.1203000000000145,0.06003428571428415,0.13444777968128666,3.361194492032835,-3.039960362674493
Home,10,1,2919,116.76,0.78773,0.3944,82.71165,26.8192,0.04000000000000625,1.0,True,True,-0.11759999999999593,0.053719999999998436,0.12928881776858692,3.2322204442141675,82.7112,26.814925714285714,-0.11864999999998815,0.05517714285714348,0.13085235799890962,3.271308949972229,-2.2471385515147975
Home,10,1,2920,116.8,0.78661,0.39513,82.59405000000001,26.86884,0.03999999999999204,1.0,True,True,-0.11759999999999593,0.04964000000000013,0.12764752093166187,3.191188023292182,82.59345,26.867188571428567,-0.11775000000000091,0.05226285714285339,0.12882728257917464,3.2206820644800067,-1.2656721373058142
Home,10,1,2921,116.84,0.78548,0.39589,82.4754,26.92052,0.04000000000000625,1.0,True,True,-0.11865000000001658,0.05168000000000106,0.12941655574154354,3.2354138935380825,82.47630000000001,26.916439999999998,-0.1171499999999952,0.04925142857143072,0.12708196455959286,3.177049113989325,-1.0908237622668753
Home,10,1,2922,116.88,0.78437,0.39658,82.35885,26.96744,0.03999999999999204,1.0,True,True,-0.1165499999999895,0.04692000000000007,0.1256399176217398,3.1409979405441195,82.35900000000001,26.96578857142857,-0.11730000000000018,0.04934857142857041,0.12725789367281212,3.181447341820936,0.10995569579029774
Home,10,1,2923,116.92,0.78324,0.39728,82.2402,27.015040000000003,0.04000000000000625,1.0,True,True,-0.11865000000000236,0.04760000000000275,0.12784202165172773,3.1960505412926934,82.24215000000001,27.014165714285717,-0.11684999999999945,0.04837714285714867,0.1264684563479006,3.161711408697021,-0.49339832809779444
Home,10,1,2924,116.96,0.78214,0.39792,82.12469999999999,27.05856,0.03999999999999204,1.0,True,True,-0.11550000000001148,0.04351999999999734,0.12342706510325205,3.085676627581915,82.12635,27.06128,-0.11580000000000723,0.047114285714283,0.12501758243690672,3.1254395609232897,-0.9067961943434649
Home,10,1,2925,117.0,0.78103,0.39869,82.00815,27.11092,0.04000000000000625,1.0,True,True,-0.1165499999999895,0.052360000000000184,0.1277711708485039,3.194279271212098,82.011,27.108297142857143,-0.1153500000000065,0.04701714285714331,0.1245641771234833,3.1141044280865957,-0.28337832091730475
Home,10,1,2926,117.04,0.77994,0.39938,81.8937,27.15784,0.04000000000000625,1.0,True,True,-0.11445000000000505,0.04692000000000007,0.12369433657205636,3.0923584143009255,81.89535000000001,27.156091428571433,-0.11564999999998804,0.04779428571428923,0.12513679014157406,3.1284197535388625,0.3578831363066133
Home,10,1,2927,117.08,0.77889,0.39998,81.78345,27.19864,0.03999999999999204,1.0,True,True,-0.11024999999999352,0.040800000000000836,0.11755723074315182,2.93893076857938,81.7797,27.2034,-0.11565000000000225,0.047308571428565926,0.12495208453888333,3.123802113472705,-0.11544100165396053
Home,10,1,2928,117.12,0.77779,0.40073,81.66795,27.24964,0.04000000000000625,1.0,True,True,-0.11549999999999727,0.05099999999999838,0.12625866306911065,3.156466576727273,81.6633,27.250902857142858,-0.11639999999999873,0.04750285714285951,0.12571985299360885,3.14299632483973,0.4798552841755482
Home,10,1,2929,117.16,0.77666,0.4015,81.5493,27.302000000000003,0.03999999999999204,1.0,True,True,-0.11865000000000236,0.05236000000000374,0.12968959904325772,3.242239976082088,81.5463,27.29772571428571,-0.11700000000000443,0.04682285714285328,0.12602134720364278,3.150533680091696,0.18843388129919234
Home,10,1,2930,117.2,0.77553,0.40215,81.43065,27.3462,0.04000000000000625,1.0,True,True,-0.11865000000000236,0.044199999999996464,0.1266154117791363,3.1653852944779124,81.429,27.345325714285714,-0.11730000000000018,0.04760000000000275,0.12659008649969516,3.1647521624918844,0.355462060004652
Home,10,1,2931,117.24,0.77438,0.40281,81.3099,27.39108,0.03999999999999204,1.0,True,True,-0.12075000000000102,0.04487999999999914,0.12882071611352022,3.220517902838646,81.3117,27.392245714285714,-0.11730000000000018,0.04692000000000007,0.12633596637537567,3.15839915938502,-0.15882507767164095
Home,10,1,2932,117.28,0.77323,0.40351,81.18915,27.438679999999998,0.04000000000000625,1.0,True,True,-0.12075000000000102,0.0475999999999992,0.12979338388377187,3.2448345970937895,81.1956,27.436737142857144,-0.11610000000000298,0.044491428571429736,0.12433300935924992,3.108325233980762,-1.2518481351062525
Home,10,1,2933,117.32,0.77212,0.40428,81.07260000000001,27.491039999999998,0.03999999999999204,1.0,True,True,-0.1165499999999895,0.052360000000000184,0.1277711708485039,3.194279271213233,81.08040000000001,27.477342857142855,-0.11519999999998731,0.0406057142857108,0.12214689530499682,3.0536723826255283,-1.3663212838811165
Home,10,1,2934,117.36,0.77107,0.40481,80.96235,27.52708,0.04000000000000625,1.0,True,True,-0.11025000000000773,0.0360400000000034,0.11599113802356605,2.899778450588698,80.9634,27.52125142857143,-0.11700000000001864,0.04390857142857385,0.12496784644420554,3.12419616110465,1.7630944619777675
Home,10,1,2935,117.4,0.77005,0.40531,80.85525,27.56108,0.04000000000000625,1.0,True,True,-0.10710000000000264,0.03399999999999892,0.11236729951369522,2.8091824878419414,80.8452,27.55670857142857,-0.11819999999998743,0.03545714285714041,0.12340360197169567,3.0850900492919093,-0.9776527953183648
Home,10,1,2936,117.44,0.76898,0.40568,80.7429,27.58624,0.03999999999999204,1.0,True,True,-0.11234999999999218,0.025159999999999627,0.1151327412163813,2.8783185304101053,81.0633,27.436542857142857,0.21809999999999263,-0.12016571428571154,0.24901286892406194,6.225321723102787,78.50579184528755
Home,10,1,2937,117.48,0.76773,0.40667,80.61165,27.65356,0.04000000000000625,1.0,True,True,-0.13125000000000853,0.06731999999999871,0.14750777911690646,3.687694477922085,81.6255,27.156091428571425,0.5622000000000043,-0.2804514285714319,0.6282689263267457,15.706723158166186,237.03503587654797
Home,10,1,2938,117.52,0.7665,0.40646,80.4825,27.63928,0.03999999999999204,1.0,True,True,-0.12914999999999566,-0.014279999999999404,0.12993706515078313,3.2484266287702246,82.5399,26.71370285714286,0.9144000000000005,-0.442388571428566,1.0157927978335979,25.394819945845,242.20241969201854
Home,10,1,2939,117.56,0.78777,0.39114,82.71585,26.59752,0.04000000000000625,1.0,True,True,2.2333500000000015,-1.04176,2.4643693148755133,61.6092328718782,83.81505,26.105297142857143,1.2751499999999965,-0.6084057142857162,1.4128570471479072,35.32142617869216,248.1651558211401
Home,10,1,2940,117.6,0.8096,0.37541,85.008,25.527880000000003,0.03999999999999204,1.0,True,True,2.2921499999999924,-1.0696399999999961,2.529442893623012,63.23607234058788,85.46114999999999,25.32776571428571,1.64609999999999,-0.7775314285714323,1.8204945296309734,45.51236324078339,254.77342655233144
Home,10,1,2941,117.64,0.83203,0.35927,87.36315,24.43036,0.04000000000000625,1.0,True,True,2.355150000000009,-1.097520000000003,2.598322857710344,64.95807144274845,87.49080000000001,24.37052,2.029650000000018,-0.9572457142857118,2.244058484090474,56.10146210225307,264.72747153670076
Home,10,1,2942,117.68,0.85506,0.34268,89.7813,23.302239999999998,0.04000000000000625,1.0,True,True,2.418149999999997,-1.1281200000000027,2.6683523299781817,66.70880824944412,89.53065,23.41677142857143,2.039849999999987,-0.9537485714285694,2.2518046895772255,56.295117239421835,4.8413784292182775
Home,10,1,2943,117.72,0.87872,0.32564,92.26559999999999,22.14352,0.03999999999999204,1.0,True,True,2.4842999999999904,-1.1587199999999989,2.741236678654353,68.53091696637246,91.23645,22.62593142857143,1.7058000000000106,-0.7908399999999993,1.8802078463829563,47.005196159583264,-232.24802699601048
Home,10,1,2944,117.76,0.90304,0.30813,94.8192,20.952840000000002,0.04000000000000625,1.0,True,True,2.553600000000003,-1.1906799999999969,2.817550677876089,70.4387669468912,92.60475,21.99498857142857,1.3682999999999907,-0.630942857142859,1.5067626817052409,37.66906704262513,-233.40322792391686
Home,10,1,2945,117.8,0.90249,0.30828,94.76145,20.96304,0.03999999999999204,1.0,True,True,-0.057749999999998636,0.010199999999997544,0.05864386157135112,1.4660965392840697,93.62805,21.525594285714284,1.023300000000006,-0.4693942857142872,1.1258214269861975,28.145535674660536,-238.08828419916222
