estimand,estimate,ci_low,ci_high,valid,attempted
D1,0.09700571057192423,0.06922850022626839,0.12465133433371754,2000,2000
D2,0.05082738415063097,0.024335268699865076,0.07824557881764786,2000,2000
D3,0.0460715809047581,0.02341017540887456,0.06893842059643776,2000,2000
D4,0.051563360459115276,0.028714770656391143,0.0748653319688239,2000,2000
D5,0.050923204646297834,0.022894617185027125,0.0784037199723983,2000,2000
D6,0.0482202102767471,0.024113859572193388,0.07301574560066414,2000,2000
D7,0.05369110640835573,0.029303078053443943,0.07798488037284407,2000,2000
D8,0.04577303607509793,0.022131392618557524,0.0703290612486061,2000,2000
D9,0.057858486986535805,0.03057340940316465,0.08327591532382367,2000,2000
D10,0.05680686713339814,0.030096587404036628,0.0836896908810746,2000,2000
near,0.0646348918757711,0.041205181884340504,0.08908756304186444,2000,2000
middle,0.051099470447628983,0.02895353239887152,0.07340278657162563,2000,2000
far,0.05347946339834395,0.028852078016079155,0.07768647769185844,2000,2000
near_minus_middle,0.013535421428142111,0.004248658542438254,0.024282359879693478,2000,2000
