distance_rank,parallel_m,parallel_m,orthogonal_m,orthogonal_m,radial_m,radial_m
,count,median,count,median,count,median
1,8261,0.28110948434460703,8261,0.004313526230819431,8248,0.10466932380668464
2,8261,0.12213025469796486,8261,0.013299820069768042,8265,0.007114905833980556
3,8261,0.12989620136407995,8261,0.04200479345493263,8265,0.027525053051195528
4,8261,0.05618587549937108,8261,0.0018190585629404565,8265,0.05628997887963183
5,8261,0.032654860784182456,8261,0.021270087740076896,8265,0.046636930024022416
6,8261,-0.0449847609723024,8261,0.035236603502804664,8265,0.05206234419271982
7,8261,-0.11827774761028098,8261,-0.020644360636174364,8265,0.05974367112430242
8,8261,-0.1657817272132951,8261,-0.01540471790478164,8265,0.13926652955349028
9,8261,-0.23692913187689346,8261,-0.06278264758518382,8265,0.13234903092374228
10,8261,-0.32532078803231024,8261,0.011169717694518608,8265,0.2311820709271164
