distance_rank,count,mean,std,min,10%,25%,50%,75%,90%,max
1,8265.0,6.840459590804959,4.513507912221484,0.0,1.9597913247246996,3.479365696356099,5.842576783463028,9.22210177821062,13.090722226562002,30.182502707465684
2,8265.0,11.487103225024228,5.323959512659067,0.15106390119713448,5.366926118969868,7.5740314582653925,10.6375383710408,14.693075383198684,18.971160151894107,34.58056440019627
3,8265.0,15.214091509640234,6.101057751140348,0.8130492691298888,8.03096289321147,10.808115812026326,14.351057105698608,19.079799246430763,23.743371042288093,40.89483495623627
4,8265.0,18.226014774279264,6.488362577305183,1.838655998962946,10.590399125364723,13.540065648696924,17.41952535795393,22.59384594850752,27.151300497518182,44.085513647121346
5,8265.0,21.19263915919405,6.928478039149185,2.6124332884211645,12.96610822312451,16.0330853330262,20.447727170140205,25.874544699080094,30.575364985891678,56.31503004043086
6,8265.0,24.07358832609486,7.267839271588899,3.21690094401429,15.249385365333847,18.731848520684753,23.46467638897625,29.06817103402477,33.80473127352331,57.37836814561098
7,8265.0,27.046753797374947,7.611274708831334,4.174346408097184,17.561748637088908,21.395976013531143,26.63506906213486,32.35421143809815,37.14229032238571,57.83806891630417
8,8265.0,30.40871270985823,7.908321293934102,6.177983583662231,20.377964362708283,24.5091795786254,30.281451133745055,35.89191656073065,40.72462743541318,59.75814483890032
9,8265.0,34.018485523661006,8.223935934159025,6.730472116787884,23.507933954611342,27.989604005989438,33.89478099603118,39.722749673708385,44.91623703804207,64.40825060794421
10,8265.0,38.45463561578447,8.776090637016656,10.965246872376618,27.165764500891342,32.07017867813384,38.17696699511753,44.62020206184658,50.13840883889271,77.5599805929868
