method,rank,estimate
primary,1,0.098778553232472921
primary,2,0.03783302762040823
primary,3,0.025329852531236135
primary,4,0.0096481605484433075
primary,5,-0.0068049569774232994
primary,6,-0.021512873742184926
primary,7,-0.016823762553481014
primary,8,-0.0311994227610649
primary,9,-0.035804746767150168
primary,10,-0.022694559633409328
sensitivity,1,0.098014003778013448
sensitivity,2,0.037317600660258937
sensitivity,3,0.025334009628414568
sensitivity,4,0.0095297689610934211
sensitivity,5,-0.0068422382140492927
sensitivity,6,-0.021383846106617706
sensitivity,7,-0.016854234529245726
sensitivity,8,-0.03082592083948861
sensitivity,9,-0.035430148397606234
sensitivity,10,-0.022263059382634225
raw,1,0.09699389957599247
raw,2,0.036832061129262753
raw,3,0.025221682315209291
raw,4,0.0095014159097563111
raw,5,-0.007148359387728509
raw,6,-0.021287445813234662
raw,7,-0.016926401383480012
raw,8,-0.030375948324183
raw,9,-0.03523742444243249
raw,10,-0.022103421132282773
rolling7,1,0.097989117771015044
rolling7,2,0.037294355082274078
rolling7,3,0.02548601041014863
rolling7,4,0.0096379780887292932
rolling7,5,-0.007011964063113732
rolling7,6,-0.021458503616177856
rolling7,7,-0.016875608835019224
rolling7,8,-0.03087672463440215
rolling7,9,-0.035512727070208479
rolling7,10,-0.022405382487510311
