outcome,pooled_model_rank,beta_goalward_m_per_m,beta_outward_m_per_m,canonical_contrast,canonical_5m_contrast_m,ci_low,ci_high,observed_outcome_iqr_low_m,observed_outcome_iqr_high_m
width_reduction_m,16,0.07635588866837865,-0.013400265559099993,inward_minus_outward,0.13400265559099994,-0.006622287041022189,0.2734299808344615,-1.791428838457385,1.6628574643816307
centroid_goalward_displacement_m,16,0.5492016378152642,-0.043340246322472735,goalward_minus_outward,2.9627094206886846,2.870719969678398,3.0483222239238104,-1.2971427283116768,1.9154285717489437
depth_reduction_m,16,-0.038217059255500695,0.0184422606995525,inward_minus_outward,-0.184422606995525,-0.29643428406988653,-0.07580500337648176,-1.7585718972342335,1.7885714939662378
localized_internal_reorganization_m,16,-0.02405003624456644,0.032805828809363946,inward_minus_outward,-0.32805828809363946,-0.37239768592972206,-0.2816431787154292,-0.7503434792678663,0.6611057153921589
