match_id,outcome,rows,model_rank,beta_goalward_m_per_m,beta_outward_m_per_m,canonical_contrast,canonical_5m_contrast_m,positive_contrast
J03WMX,width_reduction_m,10850,10,0.0957631896310129,-0.0255264036235374,inward_minus_outward,0.25526403623537397,True
J03WMX,centroid_goalward_displacement_m,10850,10,0.5443068597831903,-0.03623258566592341,goalward_minus_outward,2.902697227245569,True
J03WMX,depth_reduction_m,10850,10,-0.007002151880854934,-0.00021566511445725463,inward_minus_outward,0.0021566511445725465,True
J03WMX,localized_internal_reorganization_m,10850,10,-0.03249808688893021,0.03340142021048527,inward_minus_outward,-0.33401420210485266,False
J03WN1,width_reduction_m,4268,10,0.06511089756776005,-0.021712675086754913,inward_minus_outward,0.21712675086754912,True
J03WN1,centroid_goalward_displacement_m,4268,10,0.5632347300534571,-0.05362429537747655,goalward_minus_outward,3.0842951271546686,True
J03WN1,depth_reduction_m,4268,10,-0.045926457020389264,0.010191675918473512,inward_minus_outward,-0.10191675918473511,False
J03WN1,localized_internal_reorganization_m,4268,10,-0.04151626816231127,0.022965048584681062,inward_minus_outward,-0.22965048584681064,False
J03WOH,width_reduction_m,9853,10,0.11263180538350986,0.013939997521034421,inward_minus_outward,-0.13939997521034422,False
J03WOH,centroid_goalward_displacement_m,9853,10,0.5488873802210285,-0.040081527440195844,goalward_minus_outward,2.9448445383061217,True
J03WOH,depth_reduction_m,9853,10,-0.030237945951635287,0.02646533296876241,inward_minus_outward,-0.2646533296876241,False
J03WOH,localized_internal_reorganization_m,9853,10,-0.01339744847257881,0.022697126047618605,inward_minus_outward,-0.22697126047618604,False
J03WOY,width_reduction_m,10097,10,0.045424521039760066,-0.01400476717638441,inward_minus_outward,0.1400476717638441,True
J03WOY,centroid_goalward_displacement_m,10097,10,0.5270263771958648,-0.05788811148248756,goalward_minus_outward,2.9245724433917615,True
J03WOY,depth_reduction_m,10097,10,-0.07428513184912033,0.008785201810687203,inward_minus_outward,-0.08785201810687203,False
J03WOY,localized_internal_reorganization_m,10097,10,-0.02417288825762639,0.028826200996008165,inward_minus_outward,-0.28826200996008167,False
J03WPY,width_reduction_m,10913,10,0.07851177927828046,0.012839113711922503,inward_minus_outward,-0.12839113711922504,False
J03WPY,centroid_goalward_displacement_m,10913,10,0.5589152144842334,-0.023574333749159463,goalward_minus_outward,2.9124477411669645,True
J03WPY,depth_reduction_m,10913,10,-0.07997525051697549,0.032446508548882945,inward_minus_outward,-0.32446508548882946,False
J03WPY,localized_internal_reorganization_m,10913,10,-0.020441168033126594,0.04188192773784905,inward_minus_outward,-0.4188192773784905,False
J03WQQ,width_reduction_m,8682,10,0.10959925232240907,-0.04633833502804396,inward_minus_outward,0.4633833502804396,True
J03WQQ,centroid_goalward_displacement_m,8682,10,0.5616743975520991,-0.04623328919029327,goalward_minus_outward,3.0395384337119618,True
J03WQQ,depth_reduction_m,8682,10,-0.00878339120736181,0.005528259592386464,inward_minus_outward,-0.05528259592386464,False
J03WQQ,localized_internal_reorganization_m,8682,10,-0.01739953179131527,0.030584490461504063,inward_minus_outward,-0.30584490461504066,False
J03WR9,width_reduction_m,10142,10,0.05303290642745727,-0.028711807967919344,inward_minus_outward,0.28711807967919345,True
J03WR9,centroid_goalward_displacement_m,10142,10,0.5312972606242602,-0.04359617939045582,goalward_minus_outward,2.87446720007358,True
J03WR9,depth_reduction_m,10142,10,-0.011637462594124601,0.024054641243513426,inward_minus_outward,-0.24054641243513425,False
J03WR9,localized_internal_reorganization_m,10142,10,-0.025340403137069447,0.04649944994687299,inward_minus_outward,-0.4649944994687299,False
