heldout_match,train_rows,test_rows,test_near_rows,auc,balanced_accuracy_at_0_5
J03WMX,498120,86471,37059,0.621422347596,0.527220108476
J03WN1,550459,34132,14628,0.634774093583,0.533651216844
J03WOH,505582,79009,33861,0.619216907064,0.535317179056
J03WOY,503538,81053,34737,0.614288458202,0.526096093503
J03WPY,497560,87031,37299,0.622337932449,0.531123488565
J03WQQ,514591,70000,30000,0.629862584167,0.529133333333
J03WR9,503825,80766,34614,0.626737239276,0.533104379731
metrica_game_1,526736,57855,24795,0.633661607761,0.535813672111
metrica_game_2,576317,8274,3546,0.646033267866,0.546778059786
