match_id,variable,rank_group,n,median,q1,q3,mean,sd
J03WMX,prior_absolute_path_m,near,37059,3.29370213178,2.16868333367,5.96272347137,4.16723381593,2.7946301027
J03WMX,prior_attacker_path_m,far,37059,3.07181004885,2.00103040775,5.39209575065,3.84113051866,2.65925510068
J03WMX,prior_attacker_path_m,middle,49412,3.07181004885,2.00103040775,5.39209575065,3.84113051866,2.65924613082
J03WMX,prior_attacker_path_m,near,37059,3.07181004885,2.00103040775,5.39209575065,3.84113051866,2.65925510068
J03WMX,prior_defensive_centroid_path_m,far,37059,2.70866058068,1.24717178688,4.85430746208,3.22979060728,2.3350362784
J03WMX,prior_defensive_centroid_path_m,middle,49412,2.70866058068,1.24717178688,4.85430746208,3.22979060728,2.33502840215
J03WMX,prior_defensive_centroid_path_m,near,37059,2.70866058068,1.24717178688,4.85430746208,3.22979060728,2.3350362784
J03WMX,prior_focal_relative_path_m,far,37059,2.31408635102,1.41293113795,3.60552824397,2.76872648599,1.87470018119
J03WMX,prior_focal_relative_path_m,middle,49412,2.29162035932,1.42661911913,3.54082645965,2.70773274498,1.78056518784
J03WMX,prior_focal_relative_path_m,near,37059,2.37374127781,1.47335252691,3.65101715769,2.80079764342,1.8292153773
J03WMX,prior_other_nine_mean_absolute_path_m,far,37059,3.91054025745,2.26684509915,5.64658147903,4.11892065517,2.2138488077
J03WMX,prior_other_nine_mean_absolute_path_m,middle,49412,3.89219102111,2.26050867003,5.63985474073,4.09560945911,2.19970028017
J03WMX,prior_other_nine_mean_absolute_path_m,near,37059,3.87432415532,2.24009504403,5.63446069649,4.09532766433,2.21440664384
J03WMX,prior_terminal_speed_mps,far,37059,1.51606953284,0.942888105202,2.84394232987,1.96131298941,1.47341904157
J03WMX,prior_terminal_speed_mps,middle,49412,1.5959956059,0.994886128962,3.0459925565,2.07586851,1.49998694856
J03WMX,prior_terminal_speed_mps,near,37059,1.59279345123,1.03015652484,3.03854768903,2.07569912491,1.47657688599
J03WMX,unit_depth_span_m,far,37059,32.7971425738,27.4242853437,38.2799998692,32.6989498236,8.71474311065
J03WMX,unit_depth_span_m,middle,49412,32.7971425738,27.4242853437,38.2799998692,32.6989498236,8.71471371518
J03WMX,unit_depth_span_m,near,37059,32.7971425738,27.4242853437,38.2799998692,32.6989498236,8.71474311065
J03WMX,unit_width_span_m,far,37059,38.564285687,33.2828564644,42.7142848969,38.0727345465,8.80940128706
J03WMX,unit_width_span_m,middle,49412,38.564285687,33.2828564644,42.7142848969,38.0727345465,8.8093715723
J03WMX,unit_width_span_m,near,37059,38.564285687,33.2828564644,42.7142848969,38.0727345465,8.80940128706
J03WN1,attacker_abs_lateral_offset_from_centroid_m,far,14628,7.49249971254,3.6471071921,12.7753214334,9.03027118255,6.92068299749
J03WN1,attacker_abs_lateral_offset_from_centroid_m,middle,19504,7.49249971254,3.6471071921,12.7753214334,9.03027118255,6.92062385519
J03WN1,attacker_abs_lateral_offset_from_centroid_m,near,14628,7.49249971254,3.6471071921,12.7753214334,9.03027118255,6.92068299749
J03WN1,attacker_defender_start_distance_m,far,14628,29.5683625545,23.6155998213,35.7198102063,29.9942588081,8.61116957421
J03WN1,attacker_defender_start_distance_m,middle,19504,18.6813561138,14.038433012,24.4743403394,19.6604858639,7.45808012942
J03WN1,attacker_defender_start_distance_m,near,14628,8.25577520189,4.90396947218,12.5666056885,9.29072370674,5.76947829449
J03WN1,attacker_goalward_offset_from_centroid_m,far,14628,-6.5304997359,-14.0816784767,3.15435711571,-5.48089699705,11.1865014261
J03WN1,attacker_goalward_offset_from_centroid_m,middle,19504,-6.5304997359,-14.0816784767,3.15435711571,-5.48089699705,11.1864058292
J03WN1,attacker_goalward_offset_from_centroid_m,near,14628,-6.5304997359,-14.0816784767,3.15435711571,-5.48089699705,11.1865014261
J03WN1,ball_abs_lateral_offset_from_centroid_m,far,14628,11.7245714403,5.31985752838,16.2771438505,11.6327928714,7.314733505
J03WN1,ball_abs_lateral_offset_from_centroid_m,middle,19504,11.7245714403,5.31985752838,16.2771438505,11.6327928714,7.31467099526
J03WN1,ball_abs_lateral_offset_from_centroid_m,near,14628,11.7245714403,5.31985752838,16.2771438505,11.6327928714,7.314733505
J03WN1,ball_defender_distance_m,far,14628,23.8175991932,13.7637372293,34.7439598816,24.7006129045,13.9118529174
J03WN1,ball_defender_distance_m,middle,19504,20.2036909489,12.4155955429,29.8823609578,21.9530043274,12.5803296908
J03WN1,ball_defender_distance_m,near,14628,20.493191911,11.8717255944,30.4911265431,22.1548626907,13.0541451043
J03WN1,ball_goalward_offset_from_centroid_m,far,14628,-1.19999980032,-11.3715715509,8.81700117929,-0.233779558394,16.9235742645
J03WN1,ball_goalward_offset_from_centroid_m,middle,19504,-1.19999980032,-11.3715715509,8.81700117929,-0.233779558394,16.9234296402
J03WN1,ball_goalward_offset_from_centroid_m,near,14628,-1.19999980032,-11.3715715509,8.81700117929,-0.233779558394,16.9235742645
J03WN1,defender_abs_lateral_offset_from_centroid_m,far,14628,10.2397142506,5.1805713926,15.3837140013,10.7918396079,6.8411923963
J03WN1,defender_abs_lateral_offset_from_centroid_m,middle,19504,5.9002856476,2.67914280934,10.2545716286,7.05090860634,5.38691418019
J03WN1,defender_abs_lateral_offset_from_centroid_m,near,14628,5.9919998319,2.8598573276,10.5488570716,7.231134169,5.46346595865
J03WN1,defender_centroid_distance_m,far,14628,16.7736326169,13.1038160909,20.6257075871,17.1961903417,5.68198189526
J03WN1,defender_centroid_distance_m,middle,19504,10.4474417799,6.76744756756,15.052294484,11.241359057,5.8988093645
J03WN1,defender_centroid_distance_m,near,14628,11.7788112894,7.62586964789,16.443049901,12.3568986527,6.21986115153
J03WN1,defender_fixed_x_m,far,14628,-1.64142857279,-17.5600000109,12.8571428571,-1.3141633515,22.7083680488
J03WN1,defender_fixed_x_m,middle,19504,-2.01214283705,-19.4828572954,14.4185714722,-1.58410347803,22.9532240394
J03WN1,defender_fixed_x_m,near,14628,-2.92000000817,-19.266785826,14.3400001526,-1.64625991123,23.2092391632
J03WN1,defender_fixed_y_m,far,14628,-2.19000005722,-14.7914287022,7.78285711152,-2.87986875151,16.3060677621
J03WN1,defender_fixed_y_m,middle,19504,-2.86428560529,-13.355714253,6.17571422032,-3.02928622644,14.6139243995
J03WN1,defender_fixed_y_m,near,14628,-2.60999996322,-12.7357142653,6.1835714238,-2.82730546309,14.2526774898
J03WN1,defender_goalward_offset_from_centroid_m,far,14628,6.08157183783,-7.75728589467,12.076535424,2.5870841894,12.5716728092
J03WN1,defender_goalward_offset_from_centroid_m,middle,19504,1.23778605613,-5.68414392471,7.04228570546,0.38507585128,9.07114039706
J03WN1,defender_goalward_offset_from_centroid_m,near,14628,-3.45528595448,-10.118428602,3.85907145898,-3.10051865778,9.98167553587
J03WN1,defender_lateral_offset_from_centroid_m,far,14628,-0.108714259469,-10.1362858072,10.415428561,0.043998003451,12.7777831339
J03WN1,defender_lateral_offset_from_centroid_m,middle,19504,-0.165571463108,-6.09557140895,5.71807153055,-0.105419471485,8.87274432382
J03WN1,defender_lateral_offset_from_centroid_m,near,14628,0.107857197523,-5.95585711322,6.02664277303,0.0965612918626,9.06272650911
J03WN1,defender_own_goal_depth_m,far,14628,49.1614286559,33.6428571429,64.399999891,49.1167208557,22.4933270658
J03WN1,defender_own_goal_depth_m,middle,19504,50.9742857047,34.559285777,68.644285747,51.3187291938,22.9774788441
J03WN1,defender_own_goal_depth_m,near,14628,54.2599999905,38.2846427645,72.2274998937,54.8043237029,23.1531610966
J03WN1,local_two_neighbor_mean_distance_m,far,14628,10.6009690133,7.71222801889,14.0447660759,11.194497744,5.05372465949
J03WN1,local_two_neighbor_mean_distance_m,middle,19504,8.36897002212,6.1211971532,11.1193146612,8.84394774383,3.97074622152
J03WN1,local_two_neighbor_mean_distance_m,near,14628,8.55654080422,6.24266713516,11.4235216859,9.09892407567,4.04161010101
J03WN1,prior_absolute_path_m,far,14628,2.93228162522,1.94494825416,5.1568705581,3.76354732698,2.79047775364
J03WN1,prior_absolute_path_m,middle,19504,3.12224134284,2.0913406352,5.61327230145,3.98736800792,2.7542183346
J03WN1,prior_absolute_path_m,near,14628,3.09118927778,2.0600807456,5.57290725551,3.96739693489,2.75072298485
