match_id,variable,near_median,near_q1,near_q3,middle_median,middle_q1,middle_q3,standardized_difference,matches,median_match_standardized_difference,q1_match_standardized_difference,q3_match_standardized_difference,positive_matches,negative_matches,same_sign_matches
J03WMX,attacker_abs_lateral_offset_from_centroid_m,9.76885720662,4.63528571129,16.3871424368,9.76885720662,4.63528571129,16.3871424368,-2.07993966744e-16,9,0,-1.99554850553e-16,0,1,3,3
J03WMX,attacker_defender_start_distance_m,10.0549254745,5.9952371041,15.271725079,21.9323093266,16.2614321883,28.7201211451,-1.4049145126,9,-1.4805641503,-1.52810032904,-1.41343213316,0,9,9
J03WMX,attacker_goalward_offset_from_centroid_m,-6.61171408381,-15.4135714156,3.82385714054,-6.61171408381,-15.4135714156,3.82385714054,0,9,0,0,7.45652679375e-17,4,2,4
J03WMX,ball_abs_lateral_offset_from_centroid_m,12.3549982412,5.87385695917,17.9447140268,12.3549982412,5.87385695917,17.9447140268,2.33871359219e-16,9,0,-2.2762364796e-16,2.28438121718e-16,3,3,3
J03WMX,ball_defender_distance_m,21.842017191,13.133477545,33.0417965512,21.7381154349,13.5531288564,31.99979604,0.0229978001919,9,-0.000855850062246,-0.029216940085,0.0157880180517,3,6,6
J03WMX,ball_goalward_offset_from_centroid_m,-3.31099974769,-15.174714429,8.87714293344,-3.31099974769,-15.174714429,8.87714293344,-2.50247544285e-17,9,2.0972275832e-17,-2.50247544285e-17,3.11611781121e-17,6,3,6
J03WMX,defender_abs_lateral_offset_from_centroid_m,7.55514329842,3.73342858383,13.3552850051,7.10271409239,3.54871422478,12.2237497781,0.0840812139496,9,0.0840812139496,0.033252843571,0.097744312508,9,0,9
J03WMX,defender_centroid_distance_m,13.6121749424,8.77632898773,18.6358983459,12.2037436167,7.66516368655,17.4003920973,0.177011186173,9,0.166664895911,0.14947607846,0.177201166568,9,0,9
J03WMX,defender_fixed_x_m,2.18857148715,-13.8649999755,19.0771427155,2.93714284897,-13.7271427427,20.0699999673,-0.0202440338793,9,0.00339160718295,-0.0202440338793,0.0181144104085,5,4,5
J03WMX,defender_fixed_y_m,-0.508571428912,-11.1542857034,10.5257143293,-0.84999999404,-11.6257141658,9.9942855835,0.0264964923952,9,0.0128834512765,-0.0151126624008,0.0264964923952,6,3,6
