heldout_match,feature,standardized_coefficient
J03WMX,intercept,-0.296271136756
J03WMX,defender_own_goal_depth_m,-0.0390788458659
J03WMX,defender_goalward_offset_from_centroid_m,-0.396466076156
J03WMX,defender_abs_lateral_offset_from_centroid_m,0.012869903381
J03WMX,defender_centroid_distance_m,0.175616873965
J03WMX,prior_absolute_path_m,-0.0331457240516
J03WMX,prior_focal_relative_path_m,-0.00246259236064
J03WMX,prior_terminal_speed_mps,0.0107316220249
J03WMX,prior_defensive_centroid_path_m,-0.00174780560545
J03WMX,prior_other_nine_mean_absolute_path_m,0.0308146351323
J03WMX,prior_attacker_path_m,-0.000242335499365
J03WMX,local_two_neighbor_mean_distance_m,-0.101781947761
J03WMX,unit_depth_span_m,-0.0237818216489
J03WMX,unit_width_span_m,-0.0121102172372
J03WMX,attacker_goalward_offset_from_centroid_m,0.121308780334
J03WMX,attacker_abs_lateral_offset_from_centroid_m,-0.000409712310985
J03WN1,intercept,-0.296178438751
J03WN1,defender_own_goal_depth_m,-0.0387015317964
J03WN1,defender_goalward_offset_from_centroid_m,-0.39092606769
J03WN1,defender_abs_lateral_offset_from_centroid_m,0.0225653269189
J03WN1,defender_centroid_distance_m,0.16486120787
J03WN1,prior_absolute_path_m,-0.0412446520471
J03WN1,prior_focal_relative_path_m,-0.000299720082512
J03WN1,prior_terminal_speed_mps,0.0159953836726
J03WN1,prior_defensive_centroid_path_m,0.00127416535377
J03WN1,prior_other_nine_mean_absolute_path_m,0.028364927984
J03WN1,prior_attacker_path_m,0.000337216736458
J03WN1,local_two_neighbor_mean_distance_m,-0.0910531400675
J03WN1,unit_depth_span_m,-0.0244194537115
J03WN1,unit_width_span_m,-0.0141470370926
J03WN1,attacker_goalward_offset_from_centroid_m,0.118314517418
J03WN1,attacker_abs_lateral_offset_from_centroid_m,-0.00198744131779
J03WOH,intercept,-0.296408025907
J03WOH,defender_own_goal_depth_m,-0.0374135553052
J03WOH,defender_goalward_offset_from_centroid_m,-0.395567420928
J03WOH,defender_abs_lateral_offset_from_centroid_m,0.0227578649871
J03WOH,defender_centroid_distance_m,0.170372169803
