contrast,threshold_m,full_estimate,trimmed_estimate,trimmed_ci_low,trimmed_ci_high,excluded_anchors,excluded_percent,trimmed_anchors,sign_retained,absolute_magnitude_ratio,passes
Delta_NM,12.198443079831405,0.045585464677892623,0.038395808687742894,0.021432333678890882,0.058595877120744315,79,1.0098427713153522,7744,True,0.84228183169894366,True
Delta_MF,12.198443079831405,0.0002499734543669821,0.002239476081433836,-0.018652858969607288,0.023545546167281731,79,1.0098427713153522,7744,True,8.9588555997073858,True
