analysis,estimand,estimate,interval_percent,ci_low,ci_high,attempted,valid,n_rows,unique_anchors,estimable
metric_2s,"[0,10)",0.12212923283551716,95,0.095261899894475477,0.14979020308480487,2000,2000,12214,6172,True
metric_2s,"[10,20)",0.080176419245485936,95,0.062065827188873435,0.096772660654770012,2000,2000,22663,7445,True
metric_2s,"[20,30)",0.066900567784518708,95,0.049373950587209579,0.083629278235114984,2000,2000,21936,7504,True
metric_2s,"[30,40)",0.05469995896040241,95,0.02933061709991254,0.079228686858498099,2000,2000,14851,6202,True
metric_2s,"[40,50)",0.060534402127259614,95,0.023279845772487883,0.10036307873967804,2000,2000,5480,3074,True
metric_2s,"[50,inf)",0.01370798602606314,95,-0.050527851353275872,0.082507490001335601,2000,2000,1086,799,True
