analysis,estimand,estimate,interval_percent,ci_low,ci_high,attempted,valid
primary_2s,D1,0.15518468806340291,95,0.12933480210762652,0.181528835633953,2000,2000
primary_2s,D2,0.088850183164620219,95,0.063727914376364006,0.11415914775024105,2000,2000
primary_2s,D3,0.080888320183700194,95,0.059983851204321079,0.1025391330198769,2000,2000
primary_2s,D4,0.085411101857983868,95,0.062875595647786581,0.11045085501911626,2000,2000
primary_2s,D5,0.047001211530232442,95,0.025843967034039329,0.068932948119113532,2000,2000
primary_2s,D6,0.060102659460580916,95,0.032837707372670555,0.083978044702894772,2000,2000
primary_2s,D7,0.058374090321930062,95,0.034899334704795934,0.080169996733209431,2000,2000
primary_2s,D8,0.047074194628482523,95,0.018073339527119477,0.073484907397309687,2000,2000
primary_2s,D9,0.072776601892912351,95,0.043173591293095656,0.10241812746466102,2000,2000
primary_2s,D10,0.067566080493549632,95,0.036527479771128912,0.099128345447779972,2000,2000
