analysis,rank,beta0,beta_attacker_path,beta_prior_defender,beta_centroid
primary_2s,1,0.96142636153578431,0.15518468806340291,0.30540658541503246,0.069962141238495298
primary_2s,2,1.0245241617429457,0.088850183164620219,0.30594838361557058,0.10794516130092661
primary_2s,3,1.0853470621081667,0.080888320183700194,0.30194645379344587,0.089899960050888697
primary_2s,4,1.0188637485808152,0.085411101857983868,0.34475332248392598,0.077009863369966625
primary_2s,5,1.1002310839284672,0.047001211530232442,0.31305812428949387,0.1165913294405882
primary_2s,6,1.0364831528604641,0.060102659460580916,0.32514654608820132,0.12024668073996844
primary_2s,7,1.1165966664447731,0.058374090321930062,0.30837954515559135,0.11463590903076745
primary_2s,8,1.1544908758534898,0.047074194628482523,0.32567137552148134,0.11610483214433777
primary_2s,9,0.99236367456720642,0.072776601892912351,0.36252614702547969,0.099028248367917515
primary_2s,10,1.0572984178950022,0.067566080493549632,0.32400173600488591,0.134737886647157
placebo,1,0.49985101787237285,0.07739067104590365,0.5999808309583019,0.076606307459030576
placebo,2,0.62450787228110927,0.052780032652542865,0.57542888810066639,0.066825336451448253
placebo,3,0.55284287092880069,0.050931051043075465,0.62272291010660175,0.056878442040794522
placebo,4,0.53517949844613955,0.05831345799927537,0.61989580278738554,0.055483981727085692
placebo,5,0.6436799658467558,0.031845040941537832,0.57933988373162371,0.067834407989967663
placebo,6,0.56337627569577575,0.051934034877710901,0.61729181300441394,0.056437829260407101
placebo,7,0.61704915921082826,0.032387015962709619,0.58474448285810943,0.081039406996709529
placebo,8,0.61595274260391331,0.028303603394476223,0.5867939768586018,0.090933696837108918
placebo,9,0.54130833383261234,0.04061800480359757,0.6336480970276549,0.067500152549088865
placebo,10,0.58951650448037485,0.033778603590011051,0.58416881789882846,0.10511282546776525
