analysis,estimand,estimate,interval_percent,ci_low,ci_high,attempted,valid
reverse_time_placebo,D1,0.07739067104590365,95,0.056486767821208143,0.098663422159592548,2000,2000
reverse_time_placebo,D2,0.052780032652542865,95,0.029097594832195851,0.077029841874156735,2000,2000
reverse_time_placebo,D3,0.050931051043075465,95,0.031320524027297923,0.071370471284655942,2000,2000
reverse_time_placebo,D4,0.05831345799927537,95,0.037650183644298653,0.078858966762269181,2000,2000
reverse_time_placebo,D5,0.031845040941537832,95,0.015039489295676205,0.050545036390963582,2000,2000
reverse_time_placebo,D6,0.051934034877710901,95,0.031300746035934815,0.071993275608337237,2000,2000
reverse_time_placebo,D7,0.032387015962709619,95,0.015262796663336246,0.050728998196347325,2000,2000
reverse_time_placebo,D8,0.028303603394476223,95,0.010049433239971761,0.045813596556660202,2000,2000
reverse_time_placebo,D9,0.04061800480359757,95,0.020642735995770687,0.061690688194072446,2000,2000
reverse_time_placebo,D10,0.033778603590011051,95,0.010741778938989831,0.057295163401607258,2000,2000
