window_id,duration_s,path_m,displacement_m,delta_x_m,delta_y_m,displacement_path_ratio,path_displacement_ratio,peak_speed_mps,mean_speed_mps,start_speed_mps,end_speed_mps,max_chord_deviation_m,signed_heading_change_deg,absolute_heading_change_deg,heading_changes_ge45_count,team,player,period,block_id,start_frame,end_frame,start_s,end_s
C000001,3.96,19.775033665724415,19.33939958367876,-6.323250000000005,18.276457142857147,0.977970501117238,1.0225257294137147,5.8225584487431234,4.970077014117599,2.631859768649536,5.03865798573333,1.2282491725214026,-6.000417825750571,76.77010265413084,0,Home,1,1,Home_1_1_0,101,200,4.04,8.04
C000002,3.960000000000001,17.050208524405534,13.883684744389726,12.5592,5.918039999999998,0.814282401562229,1.2280751715639016,5.226279804204567,4.313016121102792,5.046399000140998,1.3262475302445595,4.111862755264176,-174.0362054128072,174.0362054128072,0,Home,1,1,Home_1_1_0,201,300,8.04,12.04
C000003,3.960000000000001,9.489686628463526,9.07921718668644,-8.683649999999997,-2.650737142857153,0.9567457327256818,1.0452097833257021,3.2987070820651696,2.385668619975344,1.3246962859463232,2.692646653387928,0.7632898997556575,-21.9397079087786,137.7392018690878,0,Home,1,1,Home_1_1_0,301,400,12.04,16.04
C000004,3.960000000000001,11.708454625312015,9.963944670343432,4.3553999999999995,-8.961622857142856,0.8510042519875167,1.1750822603582818,3.6437428195050128,2.953572808143509,2.6459151815505195,3.177462398017957,1.3686528892822782,1.9421289670341892,196.16967966094327,0,Home,1,1,Home_1_1_0,401,500,16.04,20.04
C000005,3.960000000000001,9.224341925826842,5.420092804454551,5.376750000000001,-0.6840799999999945,0.5875858514393384,1.7018789638151093,3.180532772883682,2.3378766392891417,3.1791157832432178,2.5006147244227708,2.171713915996885,119.43564563703104,182.1241923862054,0,Home,1,1,Home_1_1_0,501,600,20.04,24.04
C000006,3.960000000000001,11.647072849204667,7.210150484276897,-1.5375000000000014,-7.044314285714286,0.6190525789292415,1.6153716728386351,3.748075234098088,2.936827220236418,2.5059007935251434,3.7027072143990827,3.8889030564424307,-151.99925089217624,151.99925089217624,0,Home,1,1,Home_1_1_0,601,700,24.04,28.04
C000007,3.960000000000001,8.424259439343011,4.4762176436562555,-4.4576999999999956,0.40673714285715334,0.5313485031991543,1.882003984163273,3.7146400656861354,2.1430854015153393,3.7020541679587575,1.601918024874856,1.9107991232237782,-149.78440737792553,166.90354317842525,0,Home,1,1,Home_1_1_0,701,800,28.04,32.04
C000008,3.960000000000001,9.554733546432226,8.640289854187499,-4.495199999999997,7.378874285714282,0.9042941712816068,1.1058348397654212,3.358662019688775,2.40453414063393,1.5850754025873106,3.358662019688775,1.5135042683060533,98.08590360218766,98.15364763907652,0,Home,1,1,Home_1_1_0,801,900,32.04,36.04
C000009,3.960000000000001,11.589165330616465,10.382034998341794,-9.574050000000003,4.015497142857136,0.8958397522308486,1.1162710713716022,4.287733105462079,2.93092262787698,3.363129522286408,1.5730875013774346,0.7501783703526281,173.26971764017088,174.43362302158945,1,Home,1,1,Home_1_1_0,901,1000,36.04,40.04
C000010,3.960000000000001,4.913991152088035,4.118560219084147,4.09515,0.43850285714285775,0.8381293518068512,1.1931332530523906,1.836142319469478,1.2447088953253358,1.621110730332743,0.3541752149828316,1.0979918558265749,88.03162635456201,105.10391544097821,0,Home,1,1,Home_1_1_0,1001,1100,40.04,44.04
C000011,3.960000000000001,8.507624428938161,3.6238891151617434,1.5306000000000033,3.284788571428571,0.42595781530215504,2.347650316711869,3.2863466285932987,2.13101856224639,0.4112455011850398,3.2863466285932987,3.31585303487828,-222.1262227765151,222.1262227765151,0,Home,1,1,Home_1_1_0,1101,1200,44.04,48.04
C000012,3.960000000000001,15.32871088129956,15.324232150946413,14.397749999999991,-5.24756,0.9997078208084275,1.0002922645852028,4.076760371612866,3.86540372831969,3.3226007994799946,4.0640788931810095,0.15580385583689063,3.876824966821214,9.77815375954485,0,Home,1,1,Home_1_1_0,1201,1300,48.04,52.04
C000013,3.9599999999999937,8.540957527444125,8.14094708132389,8.075549999999978,-1.0298114285714277,0.9531656205015766,1.0491356155646676,4.2576805203387735,2.1421711004393518,0.6931718578319969,4.247559564031107,0.7179709200079637,10.36467677865584,166.14804811755397,0,Home,1,1,Home_1_1_1,2201,2300,88.04,92.04
C000014,3.9599999999999937,16.133015106798513,15.343094156371244,4.767299999999992,-14.583668571428571,0.9510369918333248,1.0514838103955226,4.994291657808718,4.076171739353597,4.291796265396284,4.8949669048922635,1.7762824623404099,-47.50776240902888,111.30538076611677,0,Home,1,1,Home_1_1_1,2301,2400,92.04,96.04
C000015,3.9599999999999937,5.9038696498097805,5.235922703807506,1.016849999999991,-5.136234285714284,0.8868628568004046,1.1275700547520593,4.8646392067900495,1.5246138045203534,4.8646392067900495,0.5798634779508632,0.26771082776365024,54.5301559395402,322.85565339219687,1,Home,1,1,Home_1_1_1,2401,2500,96.04,100.04
C000016,3.9599999999999937,1.6717944996369574,0.9223271026836826,0.7906499999999852,-0.47493142857143056,0.5516988498789611,1.812583079010212,0.8208660061178638,0.42257338393495536,0.46247590257152466,0.5642817540543571,0.3725503521010304,72.90685526642898,192.71800894103558,1,Home,1,1,Home_1_1_1,2501,2600,100.04,104.04
C000017,3.9599999999999937,5.083696210449922,4.38970641252525,-3.581249999999997,2.5385371428571446,0.863487161861064,1.1580948092438472,2.1461960891443708,1.2762359098244946,0.5311857212013383,2.048463364167348,0.3397846439182922,159.21100165427367,349.8386426525917,1,Home,1,1,Home_1_1_1,2601,2700,104.04,108.04
C000018,3.9599999999999937,7.566286795370346,6.915489503712019,-6.698400000000007,1.719137142857143,0.9139872292368647,1.0941071910107014,3.081188447661577,1.9114106056828637,1.983890684027485,1.0195650339326685,1.0145416294751566,45.2287916263537,313.2903741910928,0,Home,1,1,Home_1_1_1,2701,2800,108.04,112.04
C000019,3.9599999999999937,10.376450412260407,10.229782800265316,-9.8322,2.824234285714283,0.9858653387075608,1.0143373143749725,3.2946058342864415,2.604790273410506,1.0677670345402561,3.2946058342864415,0.4299425298118072,-38.530808619330394,129.2330855671128,0,Home,1,1,Home_1_1_1,2801,2900,112.04,116.04
C000020,3.9599999999999937,12.532791273749837,12.498066451479598,-11.413799999999995,5.091839999999998,0.9972292826464787,1.0027784155577224,4.172985837012962,3.166309519163938,3.311170072647444,3.0279294501520684,0.32106361106847076,0.39801294544069493,37.41572522289473,0,Home,1,1,Home_1_1_1,2901,3000,116.04,120.04
C000021,3.9599999999999937,11.706012090675763,11.698412048098405,-10.3677,5.418822857142864,0.9993507573272189,1.0006496644626732,3.1078290475872636,2.9566935657297426,3.0190543060797053,2.884983642474227,0.16376184226496981,2.4394691802141852,23.389491412916495,0,Home,1,1,Home_1_1_1,3001,3100,120.04,124.04
C000022,3.9599999999999937,11.443264076140004,11.434441704905204,-10.439250000000001,4.665674285714275,0.999229033676397,1.0007715611712826,3.0336300778069814,2.889660518565912,2.884449953090679,2.8372038299531153,0.18825174634500555,2.3085132143025247,18.448114468490203,0,Home,1,1,Home_1_1_1,3101,3200,124.04,128.04000000000002
C000023,3.960000000000008,10.171804963235825,10.169697017108618,-9.52620000000001,3.5600914285714254,0.9997927657741349,1.0002072771807913,2.8412274582264008,2.5712445792497918,2.829333844084145,1.918480586351188,0.04776854321336076,-2.7989245751379968,18.841034197607954,0,Home,1,1,Home_1_1_1,3201,3300,128.04,132.04
C000024,3.960000000000008,5.139193264872919,4.98230372418221,-4.960799999999992,0.46239999999999526,0.9694719516070606,1.0314893570075279,1.9012486126203898,1.3038108023444295,1.9012486126203898,0.6150191800562703,0.5611773576320944,24.393761677045156,68.5804712021047,0,Home,1,1,Home_1_1_1,3301,3400,132.04,136.04
C000025,3.960000000000008,1.739972266889655,1.6694784422785032,-1.2705000000000055,1.08304571428571,0.9594856619541613,1.0422250583331534,0.600004914945998,0.4409931158718724,0.600004914945998,0.3242075129905912,0.17691910904121685,-48.38406257594698,49.02224064593667,0,Home,1,1,Home_1_1_1,3401,3500,136.04,140.04
C000026,3.960000000000008,1.7047555134402808,1.5064452751062039,1.2713999999999999,0.8080342857142924,0.8836723290990407,1.131641183129003,0.5847505235099038,0.42933821261511496,0.3149334255045493,0.5085538169102276,0.22081384515666996,20.95306520265878,47.275731757086476,0,Home,1,1,Home_1_1_1,3501,3600,140.04,144.04
C000027,3.960000000000008,3.6227820912050026,1.1154265688067468,-0.21000000000000796,1.095479999999995,0.3078922608993399,3.247889365841946,2.272573501034292,0.9132596086022634,0.756408580101436,2.272573501034292,1.311760539795335,270.60517377670266,278.44441630903736,1,Home,1,1,Home_1_1_2,3701,3800,148.04,152.04
C000028,3.960000000000008,12.064725133829146,11.260781805681846,6.3675,9.287634285714276,0.9333641405643742,1.0713932071520695,3.418886368396057,3.03919618568644,2.3014902229157683,3.021970858334934,1.843060534808589,-57.750649650940645,73.56109374284823,0,Home,1,1,Home_1_1_2,3801,3900,152.04,156.04
C000029,3.960000000000008,7.893339904533471,6.789913791464391,5.473500000000001,-4.01792571428571,0.860207956781978,1.162509590984233,3.0121004570345384,2.0034559807037073,3.0121004570345384,1.2435298677105682,1.8691544495997456,-64.67781114501972,100.29531494781212,0,Home,1,1,Home_1_1_2,3901,4000,156.04,160.04
C000030,3.960000000000008,9.47161601080842,8.428352060901327,2.4034499999999923,-8.07839999999998,0.8898536481296766,1.1237803003919045,3.49867940264679,2.3793028283890276,1.1398825686924516,1.3492725936176424,1.8392895671638652,39.15305856639861,124.58167686532333,0,Home,1,1,Home_1_1_3,4401,4500,176.04,180.04
C000031,3.960000000000008,13.910954512709688,12.407849986254252,-12.152849999999994,2.502594285714288,0.8919481387792526,1.121141416774108,5.26707209695309,3.4903805680351883,1.2641939857769209,5.26707209695309,2.5112426780008765,-143.25433563529504,143.25433563529504,0,Home,1,1,Home_1_1_3,4501,4600,180.04,184.04
C000032,3.960000000000008,12.304128851053655,4.039008747367126,1.1992499999999993,3.8568628571428576,0.32826450342490104,3.0463238929785037,5.269913594851959,3.128731348711923,5.269913594851959,4.105059142388277,5.28110983232604,-139.03620445363146,197.2373523133241,1,Home,1,1,Home_1_1_3,4601,4700,184.04,188.04
C000033,3.960000000000008,11.159906390785274,9.92550855588092,-9.507600000000004,-2.8497828571428556,0.8893899472200237,1.1243662053137786,4.356973633863538,2.8042730056983403,1.4296408002023548,1.3323511920587208,1.0087252504626336,120.77500016702137,171.42446406081766,0,Home,1,1,Home_1_1_4,5101,5200,204.04,208.04
C000034,3.960000000000008,11.444437800705831,7.056314554213263,-6.561449999999994,2.595948571428565,0.6165715325726239,1.621871830227928,4.756326023958305,2.8744802263786817,1.337077620222603,4.6341751929977555,3.2085191174593644,-228.99024611594524,229.69040553928556,0,Home,1,1,Home_1_1_4,5201,5300,208.04,212.04
C000035,3.960000000000008,13.221689542525517,8.300798284571481,8.075849999999996,1.9193485714285714,0.6278167595656553,1.5928214479203033,4.5670343334953385,3.351092728966323,4.5670343334953385,4.157028240934346,4.5691973282595715,-128.8238562174972,133.0563593021113,0,Home,1,1,Home_1_1_4,5301,5400,212.04,216.04
C000036,3.960000000000008,14.199535602375617,10.849359516694983,0.664350000000006,-10.829,0.7640643905903415,1.3087902175723263,4.701540598570764,3.591297189648646,4.141328905475063,4.701540598570764,4.149803842403698,-109.56239036082962,109.56239036082962,0,Home,1,1,Home_1_1_4,5401,5500,216.04,220.04
C000037,3.960000000000008,19.61695888965361,19.552021215586507,-16.84245,-9.930428571428571,0.9966897175840363,1.0033212767800874,5.873363942406878,4.951371762634825,4.713204022143121,5.686916173332726,0.4728972320585112,-4.002366954292912,28.76981611919658,0,Home,1,1,Home_1_1_4,5501,5600,220.04,224.04
