episode_id,duration_s,path_m,displacement_m,delta_x_m,delta_y_m,displacement_path_ratio,path_displacement_ratio,peak_speed_mps,mean_speed_mps,start_speed_mps,end_speed_mps,max_chord_deviation_m,signed_heading_change_deg,absolute_heading_change_deg,heading_changes_ge45_count,team,player,period,block_id,start_frame,end_frame,start_s,end_s,start_x_m,start_y_m,end_x_m,end_y_m,method_b_overlap,diag_short,diag_tiny_path,diag_tiny_displacement,diag_long,diag_low_displacement_path_ratio,diag_direction_change,diag_lower_speed_meaningful_displacement,diag_fragmentation_any,diag_merging_any
A000001,1.1199999999999999,3.024683068358527,3.0212021329387198,-0.4755000000000038,-2.983548571428571,0.9988491569724374,1.001152168993215,2.8468855243541076,2.688373596018175,2.345757575563898,2.744271175920737,0.0567951702263801,-9.983453547857597,10.334903422669145,0,Home,1,1,Home_1_1_0,13,41,0.52,1.64,34.1694,43.674845714285716,33.6939,40.691297142857145,False,True,False,False,False,False,False,True,True,False
A000011,1.0799999999999983,2.8626476826265588,2.8340648096664687,2.785950000000007,0.5200057142857162,0.9900152320058245,1.0100854690628807,2.839936746789771,2.657111019129398,2.8329164699590406,2.490670048564732,0.1780155397774788,-25.219102800263713,25.219102800263713,0,Home,1,1,Home_1_1_0,570,597,22.8,23.88,38.20905,50.45308571428571,40.995000000000005,50.97309142857143,False,True,False,False,False,False,False,False,True,False
A000013,1.4800000000000004,4.582701493643801,4.3305311819164825,-2.163000000000004,-3.751657142857134,0.9449734371577381,1.0582308038284856,3.7076820836845394,3.072395413525592,2.1834883728774717,3.6873101613188766,0.6172653618810529,-69.92003479855501,69.92003479855501,0,Home,1,1,Home_1_1_0,643,680,25.72,27.2,44.706900000000005,48.88286857142857,42.5439,45.13121142857143,False,True,False,False,False,False,False,True,True,False
A000014,1.0,3.7207128864511194,3.702729853969856,-3.4012500000000045,-1.4634571428571448,0.9951667777036094,1.004856695786754,3.748075234098088,3.7194281662537256,3.6873101613188766,3.7023212003293087,0.1614690911476279,-17.637187250768335,17.637187250768335,0,Home,1,1,Home_1_1_0,680,705,27.2,28.2,42.5439,45.13121142857143,39.142649999999996,43.66775428571429,False,True,False,False,False,False,False,True,True,False
A000019,1.1200000000000045,1.5740401549137013,1.5259285661624582,1.1998499999999979,-0.942771428571433,0.9694343320270118,1.0315293846763998,1.8355702281577129,1.3717206720111756,0.42889561548167243,1.8340898927518188,0.13352298992857084,52.815597599388596,52.815597599388596,0,Home,1,1,Home_1_1_0,986,1014,39.44,40.56,20.766750000000002,56.19753142857143,21.9666,55.25476,False,True,False,False,False,False,False,False,True,False
A000024,1.1199999999999974,4.428163869719588,4.4281283450686,4.188299999999998,-1.4375199999999992,0.9999919775663157,1.0000080224980443,4.0018271566671775,3.9517337945133453,3.8961832978970485,3.9971458190788516,0.007901750062766647,-0.40755433712811645,2.2660621584127068,0,Home,1,1,Home_1_1_0,1246,1274,49.84,50.96,33.13695,56.95563428571428,37.32525,55.51811428571428,False,True,False,False,False,False,False,True,True,False
A000025,1.3999999999999986,5.670774583508735,5.670664329076559,5.359200000000008,-1.8534857142857106,0.9999805574299326,1.0000194429480882,4.076760371612866,4.04906973352215,3.9971458190788516,4.054307404710236,0.013664990618432715,0.703334704243653,2.72240976259857,0,Home,1,1,Home_1_1_0,1274,1309,50.96,52.36,37.32525,55.51811428571428,42.684450000000005,53.66462857142857,False,True,False,False,False,False,False,True,True,False
A000026,1.4399999999999977,0.7135053868520975,0.05055480961796335,0.04229999999998313,0.02768571428570965,0.07085413866460809,14.113501608333062,0.7216589306896192,0.48264190377192484,0.020115768258682384,0.6546385355637901,0.2618725150564043,-204.01920387908652,209.0870169592584,1,Home,1,1,Home_1_1_1,2163,2199,86.52,87.96,90.34440000000002,39.76766285714286,90.3867,39.79534857142857,False,True,True,True,False,True,False,False,True,True
A000030,1.0400000000000063,3.851807228453996,3.832566031068478,-0.17864999999999043,-3.8283999999999985,0.995004631269348,1.0050204477181972,4.155356479218292,3.6820994529659283,3.121504518730805,4.097912970715282,0.14237349848030226,1.4920395607828882,33.652292140725294,0,Home,1,1,Home_1_1_1,2334,2360,93.36,94.4,101.65455,35.07478857142857,101.47590000000001,31.24638857142857,False,True,False,False,False,False,False,True,True,False
A000031,1.3199999999999932,6.075020152200528,6.053137033727188,1.5628499999999974,-5.847902857142856,0.9963978525296885,1.0036151698452243,4.994291657808718,4.587453434580271,4.097912970715282,4.968720013516014,0.23718157057604644,11.275118219765305,16.13736118837719,0,Home,1,1,Home_1_1_1,2360,2393,94.4,95.72,101.47590000000001,31.24638857142857,103.03875000000001,25.398485714285716,False,True,False,False,False,False,False,True,True,False
