run_id,duration_s,path_m,displacement_m,delta_x_m,delta_y_m,displacement_path_ratio,path_displacement_ratio,peak_speed_mps,mean_speed_mps,start_speed_mps,end_speed_mps,max_chord_deviation_m,signed_heading_change_deg,absolute_heading_change_deg,heading_changes_ge45_count,team,player,period,block_id,start_frame,end_frame,start_s,end_s,threshold_support_duration_s
B00001,1.08,6.170848962252058,6.168393846556551,-3.151200000000003,5.30273714285714,0.9996021429611185,1.0003980153921068,5.8225584487431234,5.706180906139986,5.501841315618193,5.53211258418804,0.07266136423019696,3.788853169854813,6.9240482057819674,0,Home,1,1,Home_1_1_0,133,160,5.32,6.4,1.12
B00002,1.8000000000000114,10.470726255747177,10.425598750657747,-6.940650000000005,7.779491428571426,0.9956901265502323,1.004328528861384,6.017495746775512,5.810490454602887,5.514404518054998,5.5088155343782885,0.37651217556163374,19.837740891840618,22.40918684583327,0,Home,1,1,Home_1_1_4,6959,7004,278.36,280.16,1.84
B00003,1.8000000000000114,10.257087426594289,10.251045099547026,-10.203600000000009,0.985125714285715,0.9994109120068922,1.00058943522232,5.838843471236334,5.694277170352618,5.5095641713647625,5.517339163040489,0.14788169622778435,-8.043629518012343,9.560598620351913,0,Home,1,1,Home_1_1_5,8997,9042,359.88,361.68,1.84
B00004,0.9600000000000364,5.327089816422529,5.322032107912448,-2.0458499999999873,4.913097142857147,0.9990505681930707,1.0009503340843362,5.575713496948858,5.547426643844475,5.5084206855536815,5.507022039728546,0.10191831409538983,-7.757755222855987,7.757755222855987,0,Home,1,1,Home_1_1_10,15066,15090,602.64,603.6,1.0
B00005,3.6000000000000227,23.020721928505274,22.880209430749243,22.849499999999992,-1.1850457142857067,0.9938962601523785,1.0061412242829908,6.975478919359205,6.3851377258137,5.529484836418126,5.535565161129801,1.174918063799997,-15.73953214527029,21.886840064469155,0,Home,1,1,Home_1_1_10,15341,15431,613.64,617.24,3.64
B00006,1.4799999999999045,8.42219890473472,8.394729607752323,-7.833899999999998,-3.0168685714285743,0.9967384649432875,1.0032722074761087,5.785587715662329,5.686165905048748,5.51933177347119,5.525125260497585,0.30380752601715927,-13.637838383150525,13.767582529680814,0,Home,1,1,Home_1_1_13,19452,19489,778.08,779.56,1.52
B00007,3.759999999999991,23.82683773236938,21.08542935044806,13.088249999999995,16.531577142857138,0.8849445145548187,1.1300143495471704,7.300042056843189,6.328494820339542,5.536064623020503,5.517969432056941,4.790341384501243,-76.627115552545,93.52480427045126,0,Home,1,1,Home_1_1_14,20573,20667,822.92,826.68,3.8
B00008,2.880000000000109,19.022051880814658,18.543307274941547,18.524250000000002,-0.8404799999999994,0.974832125951882,1.0258176493963438,7.117548845114557,6.590083871097802,5.524825569788288,5.512627324617267,1.8337142483411746,-36.65633805803394,42.021593708499616,0,Home,1,1,Home_1_1_16,25625,25697,1025.0,1027.88,2.92
B00009,1.4400000000000546,9.20272415147295,9.198433349674279,-8.185500000000001,-4.1962799999999945,0.9995337465593832,1.0004664709342947,6.683758300573831,6.367648834692117,5.5349030967915525,6.383274529539027,0.11242418667268088,6.765902651898208,6.838503402285453,0,Home,1,1,Home_1_1_17,28546,28582,1141.84,1143.28,1.48
B00010,1.1599999999998545,6.6682224263752286,6.66418473256352,-0.6892500000000048,6.628445714285718,0.9993944872330985,1.0006058796347554,5.839738255186827,5.7404930047877105,5.509229484230367,5.534537852994606,0.10305505210581943,-5.58203459605569,6.061983240229174,0,Home,1,1,Home_1_1_21,34460,34489,1378.4,1379.56,1.2
B00011,1.6000000000000227,9.466538003536654,9.461820685720935,-8.069249999999997,-4.940977142857136,0.9995016850073432,1.0004985634342909,6.139478306628741,5.9064317433168325,5.500251387576979,5.544486202522888,0.11369632052444384,-6.07706021679585,8.347956847497088,0,Home,2,1,Home_2_1_4,5498,5538,219.92,221.52,1.64
B00012,2.1200000000000045,12.213994191367885,12.197745169026451,-12.161549999999998,0.9389828571428538,0.9986696389332723,1.0013321332849856,5.982600025287008,5.757297985550445,5.544236435527521,5.506188078362905,0.22496222590824386,12.797850741409093,14.490348077957652,0,Home,2,1,Home_2_1_4,6989,7042,279.56,281.68,2.16
