episode_id,duration_s,path_m,displacement_m,delta_x_m,delta_y_m,displacement_path_ratio,path_displacement_ratio,peak_speed_mps,mean_speed_mps,start_speed_mps,end_speed_mps,max_chord_deviation_m,signed_heading_change_deg,absolute_heading_change_deg,heading_changes_ge45_count,team,player,period,block_id,start_frame,end_frame,start_s,end_s,start_x_m,start_y_m,end_x_m,end_y_m,method_b_overlap,diag_short,diag_tiny_path,diag_tiny_displacement,diag_long,diag_low_displacement_path_ratio,diag_direction_change,diag_lower_speed_meaningful_displacement,diag_fragmentation_any,diag_merging_any,sample_reason
A037128,1.2399999999997817,0.2512939065862603,0.19073323694498553,-0.1906500000000051,0.00563428571427238,0.7590046234547816,1.3175150309997763,0.31127906183500686,0.20133164300285,0.16026491143367558,0.04128571428555918,0.06598331741162468,0.0,0.0,0,Away,24,2,Away_24_2_64,102208,102239,4088.32,4089.56,92.26455,42.86214857142858,92.0739,42.86778285714285,False,True,True,True,False,False,False,False,True,False,evenly_spaced_chronological
A024745,1.7599999999993088,2.973359553457936,2.957114979061121,2.8496999999999844,-0.7897714285714201,0.9945366262960283,1.0054933861252742,1.883009152764123,1.6934286656456186,1.8703011175784245,1.1729524952548944,0.10734269775649605,-26.720142258693425,29.569015542253307,0,Away,17,2,Away_17_2_67,109768,109812,4390.72,4392.48,69.3267,49.74093142857142,72.17639999999999,48.95116,False,False,False,False,False,False,False,False,False,False,evenly_spaced_chronological
A013261,1.0,1.2120338359994747,1.2003936939221995,-0.5718000000000032,-1.0554571428571506,0.9903961904927544,1.0096969370434143,1.237857142858351,1.2099509427259727,1.1578786108888004,1.236954829411006,0.0732449984791524,-25.9439209961536,25.9439209961536,0,Home,8,2,Home_8_2_69,117252,117277,4690.08,4691.08,52.7367,61.978405714285714,52.164899999999996,60.92294857142856,False,True,False,False,False,False,False,False,True,False,evenly_spaced_chronological
A008071,1.680000000000291,10.061376412068691,10.048549095665894,-9.651899999999983,2.795382857142858,0.9987250932797415,1.001276534182266,6.905206803571106,5.9620361599915634,4.833144577966355,6.9030949761746525,0.20708802084362563,10.57391550753868,10.887723724132597,0,Home,5,2,Home_5_2_71,127603,127645,5104.12,5105.8,78.78554999999999,26.34592,69.13365,29.141302857142858,True,False,False,False,False,False,False,False,False,False,evenly_spaced_chronological
A032500,1.319999999999709,0.09057854651961383,0.08750967089413189,0.06255000000000166,0.06119999999999237,0.9661191778472907,1.0350689883086708,0.14501020812069873,0.06704879381988667,0.015195326886555716,0.030390653772850912,0.007907664784779887,0.0,0.0,0,Away,21,2,Away_21_2_73,135040,135073,5401.6,5402.92,38.49,50.319320000000005,38.552550000000004,50.38052,False,True,True,True,False,False,False,False,True,False,evenly_spaced_chronological
A035889,1.0399999999999636,1.1439554642261356,1.1436181301466,-0.7197000000000067,-0.8887599999999978,0.9997051160730599,1.0002949709091202,1.1792874713373729,1.0985998748526153,1.0633100153659292,0.9680027097974675,0.006394138624054551,3.789670627132802,12.118670866611325,0,Away,23,2,Away_23_2_79,144966,144992,5798.64,5799.68,31.881750000000004,34.49513714285714,31.162049999999997,33.60637714285714,False,True,False,False,False,False,False,False,True,False,evenly_spaced_chronological
A032639,0.9999999999999964,2.8894200201819857,2.880681539894289,-1.0795499999999976,2.670748571428568,0.996975697466391,1.0030334766848326,2.9121681034069926,2.887291855556784,2.8340877399264683,2.8931597780410154,0.09680902983573487,-14.799307403431241,14.799307403431241,0,Away,22,1,Away_22_1_0,779,804,31.16,32.16,50.583600000000004,55.60894285714286,49.50405000000001,58.279691428571425,False,True,False,False,False,False,False,False,True,False,shortest_duration
A008357,51.16,53.55020820817825,53.39160734868678,-45.46095,27.999388571428565,0.9970382774446945,1.0029705204126125,1.4753123778530288,1.0466685393527784,0.980525167100207,0.1472068558808922,0.28043175747913424,-17.326536830622842,166.00818463425293,0,Home,6,1,Home_6_1_1,2383,3662,95.32,146.48,89.47815,10.106645714285715,44.0172,38.10603428571428,False,False,False,False,True,False,False,True,False,True,longest_duration
A014410,5.879999999999654,9.416818176166403,5.89059383271399,-1.2845999999999975,-5.748817142857138,0.6255397229207262,1.598619501461666,7.669715924239039,1.5929652468365596,0.3384021276494673,0.040231536518354635,0.5853357445404648,559.8578093672475,953.7612602435272,5,Home,9,1,Home_9_1_41,65582,65729,2623.28,2629.16,94.17165,36.28450857142857,92.88705,30.53569142857143,False,False,False,False,False,False,True,False,False,True,highest_heading_change
A035085,9.519999999999982,3.58369226699023,3.041763430684078,2.698350000000005,1.4040057142857165,0.8487791930970424,1.1781627166792108,0.4417547396469545,0.3766928850179774,0.43729284454264294,0.012272625918721022,0.18540077378320372,0.0,0.0,0,Away,23,2,Away_23_2_58,90804,91042,3632.16,3641.68,49.3959,18.92274857142857,52.09425,20.326754285714287,False,False,False,False,True,False,False,True,False,True,lowest_peak_speed_displacement_ge3m
A030673,3.44,14.470482791307196,14.278394398421183,-3.921600000000005,13.729297142857146,0.9867255021372606,1.0134530807544617,5.8032264426032905,4.183588006487809,2.2100867817595082,5.703913267441888,0.7201853663598438,-14.869060532408685,69.89724606931372,0,Away,21,1,Away_21_1_0,65,151,2.6,6.04,51.7644,28.966057142857142,47.8428,42.69535428571429,True,False,False,False,False,False,False,False,False,False,first_method_b_overlap
