model,attempted,valid,failed,ci_low,ci_high
primary_local_2s,2000,2000,0,0.07559379208070531,0.11433098919523063
nonlocal_2s,2000,2000,0,0.038697200479288194,0.085993202454752171
reverse_time_placebo,2000,2000,0,0.032612188537206405,0.06967023287900817
local_1s,2000,2000,0,0.036975966594260883,0.059254713660687415
trimmed_2s,2000,2000,0,0.071694892110211225,0.11309350637417502
local_4s,2000,2000,0,0.13369496526055707,0.19658492940260511
