model,beta0,beta1,beta2,beta3
primary_local_2s,0.87777873976238863,0.095957452430446899,0.39853583004019444,0.074067647370141196
nonlocal_2s,0.87342961724058177,0.061782252350336749,0.45070373044597567,0.087698161951383261
reverse_time_placebo,0.44500042122056177,0.051660959381240559,0.67429259068464609,0.052365197332544869
local_1s,0.41251828014816722,0.048565424041210975,0.21801389454227865,0.033170589189381039
trimmed_2s,0.86925246463088757,0.093386258722955334,0.40429701473895613,0.074937144713598247
local_4s,1.9020001368196697,0.16598062355607252,0.71819442615909757,0.18353943909696321
