,attacker_path_length_m,local_response_2s_m,nonlocal_response_2s_m,prior_local_relative_path_m,prior_nonlocal_relative_path_m,prior_defending_centroid_path_m
attacker_path_length_m,1,0.45457681295509172,0.33706670454554788,0.41647758133996049,0.27682847843054947,0.60839496410166594
local_response_2s_m,0.45457681295509172,1,0.43824339949537561,0.5616135713173479,0.32765742180351698,0.42785444740879663
nonlocal_response_2s_m,0.33706670454554788,0.43824339949537561,1,0.3205169664470241,0.54297886844370191,0.41926501017518886
prior_local_relative_path_m,0.41647758133996049,0.5616135713173479,0.3205169664470241,1,0.36843399742118826,0.41905562963928206
prior_nonlocal_relative_path_m,0.27682847843054947,0.32765742180351698,0.54297886844370191,0.36843399742118826,1,0.44197617707677433
prior_defending_centroid_path_m,0.60839496410166594,0.42785444740879663,0.41926501017518886,0.41905562963928206,0.44197617707677433,1
