replicate,beta_D
1,0.08400466415479742
2,0.03519690818123681
3,0.053056792234379486
4,0.03324383602353638
5,0.11253139823338966
6,0.07155665824562107
7,-0.04534448166475635
8,0.02365542627463026
9,-0.01840406993907263
10,0.08793031356030014
11,0.017235980241547405
12,0.10184504586234734
13,0.07441824525344443
14,-0.02079002780553182
15,0.02838190294828408
16,0.04570190455433529
17,0.07872783767958008
18,0.07679939784047013
19,0.06023997773533996
20,-0.020851604113598432
21,-0.025628310225117232
22,-0.08947950211712817
23,0.051546470465020276
24,0.04377994998905831
25,0.05891209765689933
26,0.0007212459860794096
27,0.016590461735811475
28,0.14663118698855454
29,-0.011177175738746901
30,0.045457090082165606
31,0.08643180369201751
32,0.022620300757016966
33,0.006693952803709795
34,0.00725963424156713
35,0.07221648284541318
36,0.023925107721814266
37,0.03736800714477318
38,0.08494759651795143
39,-0.0028004990038722976
40,-0.008118760911839901
41,0.06593034755996058
42,0.05774916330340413
43,0.027073350367138625
44,0.0285461839582807
45,-0.03255880130341394
46,0.06547715062761689
47,0.10381215591116041
48,-0.03840725741306817
49,-0.03700800588377813
50,0.1355745571325745
51,-0.006434044189185383
52,-0.017709329647424495
53,0.013438588987740793
54,0.061923745991096665
55,-0.0030672512205650215
56,0.0862580811737368
57,-0.056728961459018
58,-0.006056225099094356
59,-0.024424919136825686
60,0.02251984018883261
61,0.09055899409705741
62,-0.0296562617643561
63,-0.030727968568386846
64,0.05243289615280643
65,-0.0433505890601311
66,0.050371102338564774
67,-0.030339509284810776
68,0.060950091618400135
69,0.08832265465568619
70,-0.10464997348568005
71,-0.017213063156197368
72,0.09358930658723161
73,0.10957680241176605
74,0.029211741297027173
75,0.02562895740597034
76,-0.022762090177371228
77,0.027058931217927556
78,-0.03201761805577226
79,0.008286793258804527
80,0.023824150412319875
81,-0.03780436388610792
82,-0.01561751692207479
83,0.017158604918910438
84,0.0887568241345437
85,0.10845179365479943
86,0.023022600546156572
87,0.02163176573363508
88,0.022540523299016953
89,0.056209763617497605
90,0.027136441175334796
91,-0.04275078244116712
92,0.0037637934232561373
93,-0.04076747497204692
94,-0.04721995484133554
95,-0.006543401172552171
96,-0.007444382779149399
97,0.12020133946779242
98,-0.06605685539230191
99,-0.016400668718700016
100,0.05089238760505128
101,-0.0430308628107507
102,-0.025090647808626455
103,0.05510233203275293
104,-0.03437025532863862
105,0.02191818572167251
106,0.030105436495904296
107,-0.05216420669381168
108,-0.03373111274025533
109,-0.015811214200254668
110,0.05824741424546528
111,-0.03411957755381282
112,0.047572873857892634
113,0.07024128894475885
114,-0.055332943208801964
115,-0.0686812799998927
116,0.06550093448618255
117,-0.014451862025214734
118,0.0012394369063034255
119,-0.017784875265234576
120,0.009472527693799221
121,-0.059524652425428315
122,0.0535147815460487
123,0.018933033859833217
124,-0.012219594138505811
125,0.005620241271447448
126,0.05486943140683656
127,0.047492366963841334
128,0.03373106519034375
129,0.0097952266669758
130,0.07443800928872009
131,0.0893689552896899
132,0.003085955753309408
133,-0.02802037368750448
134,0.02587276812436466
135,0.10409732523809483
136,0.0502505784360601
137,0.05812809449684551
138,0.07793449635464736
139,-0.035529324270343915
140,0.04487266653050192
141,-0.017714771505987503
142,0.06043349707584036
143,-0.029293619059060354
144,0.05445008140606625
145,-0.007601508575281575
146,-0.02380311617236555
147,-0.0396223742179226
148,0.057127492508016964
149,0.05266817740450143
150,0.0810537464486587
151,0.00028812361075901584
152,0.013648743467970018
153,0.0058403229945822414
154,0.013958648814178526
155,-0.010011173705502894
156,-0.05468691690394476
157,-0.06275207241370825
158,0.006781673330913464
159,0.025976734337995754
160,0.03510102300021702
161,0.01453015276408864
162,-0.0197673905008279
163,0.07611844373083186
164,0.11614689355393637
165,0.040357710020645976
166,-0.016187782892425954
167,0.03347768829760888
168,-0.004792894268936463
169,0.02371305285394719
170,-0.023434059285239665
171,-0.014637892925562801
172,0.08863787170950936
173,0.06555991347592684
174,0.06960598467477558
175,0.04933074781510157
176,0.0018362191837826526
177,-0.0560429964354368
178,0.03812438643617766
179,0.019702755381017175
180,-0.03211083129917949
181,0.02516402694066238
182,0.04646513351398018
183,-0.04179703655568008
184,0.0016188156076323251
185,0.01802457104668137
186,0.04070185465297121
187,-0.0036270707246504968
188,0.05733804776893637
189,0.05247132575144578
190,0.013162342083602207
191,0.08502262786421491
192,0.09670808041303089
193,0.0054506395614648115
194,0.038364011196034845
195,0.024519162487549512
196,0.0845436665081005
197,0.1047585006134952
198,0.018988745665034126
199,0.09271077231648168
200,0.04900616228295305
