model,attempted,valid,failed,ci_low,ci_high
primary_local_2s,2000,2000,0,0.081737997478161295,0.18357001494037514
nonlocal_2s,2000,2000,0,-0.0030642540299867615,0.13493440945605964
reverse_time_placebo,2000,2000,0,0.057770427491591662,0.14178409672152081
local_1s,2000,2000,0,0.043210139633006316,0.098224631830324635
trimmed_2s,2000,2000,0,0.086843048320799296,0.18615508217514387
local_4s,2000,2000,0,0.19016881296137228,0.36532181436500999
