model,beta0,beta1,beta2,beta3,beta4
primary_local_2s,0.88577444329237331,0.10059249168649029,0.39216085814489926,0.071181007360136286,-0.018316346359402193
nonlocal_2s,0.86039774275030056,0.061854001246108847,0.45767909486193575,0.086141981557621317,-0.035928758792135695
reverse_time_placebo,0.45221393401515808,0.057598933398003163,0.66931387968115685,0.04705294583120561,0.026712069950503542
local_1s,0.41379561615090776,0.051220130600679009,0.21485103739143821,0.032220013200207856,-0.011670349716085101
trimmed_2s,0.87552031376983386,0.099102630337369768,0.39732457778294517,0.071967752782974431,-0.016547904511611783
local_4s,1.9205989825606913,0.17995155106025468,0.70444232918067085,0.17215904263932291,-0.048030799831736019
