model,beta0,beta1,beta2,beta3
primary_local_2s,0.92617137386777626,0.13422198739890989,0.34674188261641481,0.05126330363223134
nonlocal_2s,0.73553308118081318,0.064756268502387568,0.51395166702856776,0.066403431734544868
reverse_time_placebo,0.54042133860525021,0.1002637075245678,0.64176459414763709,0.00058582826859077868
local_1s,0.40445359902075945,0.071017210353439844,0.19015223577039098,0.029471749796025622
trimmed_2s,0.90635040322046356,0.13777223754788201,0.34813211341118411,0.053486264123682792
local_4s,2.0269608725312103,0.27506610294314104,0.61773265377700404,0.084771833121406431
