period,time_period_s,time_match_s,player_key,attacking_team,defending_team,reason
1,4.04,4.04,metrica:Away:15,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,4.04,4.04,metrica:Away:16,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,4.04,4.04,metrica:Away:17,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,4.04,4.04,metrica:Away:18,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,4.04,4.04,metrica:Away:19,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,4.04,4.04,metrica:Away:20,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,4.04,4.04,metrica:Away:21,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,4.04,4.04,metrica:Away:22,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,4.04,4.04,metrica:Away:23,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,4.04,4.04,metrica:Away:24,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,4.04,4.04,metrica:Away:26,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,8.0399999999999991,8.0399999999999991,metrica:Away:15,metrica:Away,metrica:Home,attacker_exposure_unavailable
1,8.0399999999999991,8.0399999999999991,metrica:Away:16,metrica:Away,metrica:Home,complete_ten_defenders_unavailable
1,8.0399999999999991,8.0399999999999991,metrica:Away:17,metrica:Away,metrica:Home,attacker_exposure_unavailable
1,8.0399999999999991,8.0399999999999991,metrica:Away:18,metrica:Away,metrica:Home,complete_ten_defenders_unavailable
1,8.0399999999999991,8.0399999999999991,metrica:Away:19,metrica:Away,metrica:Home,complete_ten_defenders_unavailable
1,8.0399999999999991,8.0399999999999991,metrica:Away:20,metrica:Away,metrica:Home,attacker_exposure_unavailable
1,8.0399999999999991,8.0399999999999991,metrica:Away:21,metrica:Away,metrica:Home,complete_ten_defenders_unavailable
1,8.0399999999999991,8.0399999999999991,metrica:Away:22,metrica:Away,metrica:Home,complete_ten_defenders_unavailable
1,8.0399999999999991,8.0399999999999991,metrica:Away:23,metrica:Away,metrica:Home,complete_ten_defenders_unavailable
1,8.0399999999999991,8.0399999999999991,metrica:Away:24,metrica:Away,metrica:Home,complete_ten_defenders_unavailable
1,8.0399999999999991,8.0399999999999991,metrica:Away:26,metrica:Away,metrica:Home,attacker_exposure_unavailable
1,12.039999999999999,12.039999999999999,metrica:Away:15,metrica:Away,metrica:Home,attacker_exposure_unavailable
1,12.039999999999999,12.039999999999999,metrica:Away:16,metrica:Away,metrica:Home,complete_ten_defenders_unavailable
1,12.039999999999999,12.039999999999999,metrica:Away:17,metrica:Away,metrica:Home,attacker_exposure_unavailable
1,12.039999999999999,12.039999999999999,metrica:Away:18,metrica:Away,metrica:Home,complete_ten_defenders_unavailable
1,12.039999999999999,12.039999999999999,metrica:Away:19,metrica:Away,metrica:Home,complete_ten_defenders_unavailable
1,12.039999999999999,12.039999999999999,metrica:Away:20,metrica:Away,metrica:Home,attacker_exposure_unavailable
1,12.039999999999999,12.039999999999999,metrica:Away:21,metrica:Away,metrica:Home,complete_ten_defenders_unavailable
1,12.039999999999999,12.039999999999999,metrica:Away:22,metrica:Away,metrica:Home,complete_ten_defenders_unavailable
1,12.039999999999999,12.039999999999999,metrica:Away:23,metrica:Away,metrica:Home,complete_ten_defenders_unavailable
1,12.039999999999999,12.039999999999999,metrica:Away:24,metrica:Away,metrica:Home,complete_ten_defenders_unavailable
1,12.039999999999999,12.039999999999999,metrica:Away:26,metrica:Away,metrica:Home,attacker_exposure_unavailable
1,16.039999999999999,16.039999999999999,metrica:Away:15,metrica:Away,metrica:Home,attacker_exposure_unavailable
1,16.039999999999999,16.039999999999999,metrica:Away:16,metrica:Away,metrica:Home,complete_ten_defenders_unavailable
1,16.039999999999999,16.039999999999999,metrica:Away:17,metrica:Away,metrica:Home,attacker_exposure_unavailable
1,16.039999999999999,16.039999999999999,metrica:Away:18,metrica:Away,metrica:Home,complete_ten_defenders_unavailable
1,16.039999999999999,16.039999999999999,metrica:Away:19,metrica:Away,metrica:Home,complete_ten_defenders_unavailable
1,16.039999999999999,16.039999999999999,metrica:Away:20,metrica:Away,metrica:Home,attacker_exposure_unavailable
1,16.039999999999999,16.039999999999999,metrica:Away:21,metrica:Away,metrica:Home,complete_ten_defenders_unavailable
1,16.039999999999999,16.039999999999999,metrica:Away:22,metrica:Away,metrica:Home,complete_ten_defenders_unavailable
1,16.039999999999999,16.039999999999999,metrica:Away:23,metrica:Away,metrica:Home,complete_ten_defenders_unavailable
1,16.039999999999999,16.039999999999999,metrica:Away:24,metrica:Away,metrica:Home,complete_ten_defenders_unavailable
1,16.039999999999999,16.039999999999999,metrica:Away:26,metrica:Away,metrica:Home,attacker_exposure_unavailable
1,20.039999999999999,20.039999999999999,metrica:Away:15,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,20.039999999999999,20.039999999999999,metrica:Away:16,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,20.039999999999999,20.039999999999999,metrica:Away:17,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,20.039999999999999,20.039999999999999,metrica:Away:18,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,20.039999999999999,20.039999999999999,metrica:Away:19,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,20.039999999999999,20.039999999999999,metrica:Away:20,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,20.039999999999999,20.039999999999999,metrica:Away:21,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,20.039999999999999,20.039999999999999,metrica:Away:22,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,20.039999999999999,20.039999999999999,metrica:Away:23,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,20.039999999999999,20.039999999999999,metrica:Away:24,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,20.039999999999999,20.039999999999999,metrica:Away:26,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,24.039999999999999,24.039999999999999,metrica:Home:1,metrica:Home,metrica:Away,restart_or_ball_out_primary_span
1,24.039999999999999,24.039999999999999,metrica:Home:10,metrica:Home,metrica:Away,restart_or_ball_out_primary_span
1,24.039999999999999,24.039999999999999,metrica:Home:12,metrica:Home,metrica:Away,restart_or_ball_out_primary_span
1,24.039999999999999,24.039999999999999,metrica:Home:13,metrica:Home,metrica:Away,restart_or_ball_out_primary_span
1,24.039999999999999,24.039999999999999,metrica:Home:14,metrica:Home,metrica:Away,restart_or_ball_out_primary_span
1,24.039999999999999,24.039999999999999,metrica:Home:2,metrica:Home,metrica:Away,restart_or_ball_out_primary_span
1,24.039999999999999,24.039999999999999,metrica:Home:3,metrica:Home,metrica:Away,restart_or_ball_out_primary_span
1,24.039999999999999,24.039999999999999,metrica:Home:4,metrica:Home,metrica:Away,restart_or_ball_out_primary_span
1,24.039999999999999,24.039999999999999,metrica:Home:5,metrica:Home,metrica:Away,restart_or_ball_out_primary_span
1,24.039999999999999,24.039999999999999,metrica:Home:6,metrica:Home,metrica:Away,restart_or_ball_out_primary_span
1,24.039999999999999,24.039999999999999,metrica:Home:7,metrica:Home,metrica:Away,restart_or_ball_out_primary_span
1,24.039999999999999,24.039999999999999,metrica:Home:8,metrica:Home,metrica:Away,restart_or_ball_out_primary_span
1,24.039999999999999,24.039999999999999,metrica:Home:9,metrica:Home,metrica:Away,restart_or_ball_out_primary_span
1,28.039999999999999,28.039999999999999,metrica:Away:15,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,28.039999999999999,28.039999999999999,metrica:Away:16,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,28.039999999999999,28.039999999999999,metrica:Away:17,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,28.039999999999999,28.039999999999999,metrica:Away:18,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,28.039999999999999,28.039999999999999,metrica:Away:19,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,28.039999999999999,28.039999999999999,metrica:Away:20,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,28.039999999999999,28.039999999999999,metrica:Away:21,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,28.039999999999999,28.039999999999999,metrica:Away:22,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,28.039999999999999,28.039999999999999,metrica:Away:23,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,28.039999999999999,28.039999999999999,metrica:Away:24,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,28.039999999999999,28.039999999999999,metrica:Away:26,metrica:Away,metrica:Home,restart_or_ball_out_primary_span
1,32.039999999999999,32.039999999999999,metrica:Away:15,metrica:Away,metrica:Home,attacker_exposure_unavailable
1,32.039999999999999,32.039999999999999,metrica:Away:16,metrica:Away,metrica:Home,complete_ten_defenders_unavailable
1,32.039999999999999,32.039999999999999,metrica:Away:17,metrica:Away,metrica:Home,attacker_exposure_unavailable
1,32.039999999999999,32.039999999999999,metrica:Away:18,metrica:Away,metrica:Home,complete_ten_defenders_unavailable
1,32.039999999999999,32.039999999999999,metrica:Away:19,metrica:Away,metrica:Home,complete_ten_defenders_unavailable
1,32.039999999999999,32.039999999999999,metrica:Away:20,metrica:Away,metrica:Home,attacker_exposure_unavailable
1,32.039999999999999,32.039999999999999,metrica:Away:21,metrica:Away,metrica:Home,complete_ten_defenders_unavailable
1,32.039999999999999,32.039999999999999,metrica:Away:22,metrica:Away,metrica:Home,complete_ten_defenders_unavailable
1,32.039999999999999,32.039999999999999,metrica:Away:23,metrica:Away,metrica:Home,complete_ten_defenders_unavailable
1,32.039999999999999,32.039999999999999,metrica:Away:24,metrica:Away,metrica:Home,complete_ten_defenders_unavailable
1,32.039999999999999,32.039999999999999,metrica:Away:26,metrica:Away,metrica:Home,attacker_exposure_unavailable
1,36.039999999999999,36.039999999999999,metrica:Away:15,metrica:Away,metrica:Home,attacker_exposure_unavailable
1,36.039999999999999,36.039999999999999,metrica:Away:16,metrica:Away,metrica:Home,complete_ten_defenders_unavailable
1,36.039999999999999,36.039999999999999,metrica:Away:17,metrica:Away,metrica:Home,attacker_exposure_unavailable
