quantity,current,kloppy,frozen_phase4c,current_vs_kloppy_abs_difference,current_vs_frozen_abs_difference
observations,6949.0,6949.0,6949.0,0.0,0.0
intervals,695.0,695.0,695.0,0.0,0.0
median_m,5.141800515646522,5.141801485761141,5.141800515646522,9.70114618858986e-07,0.0
iqr_m,4.394554097195884,4.394553798079016,4.394554097195884,2.9911686727501774e-07,0.0
p10_m,2.1163956605755536,2.116395647938041,2.1163956605755536,1.26375128139955e-08,0.0
p25_m,3.312893501917771,3.3128936445664876,3.312893501917771,1.426487163946888e-07,0.0
p75_m,7.707447599113655,7.707447442645504,7.707447599113655,1.5646815043623974e-07,0.0
p90_m,10.94179724259771,10.941797167066879,10.94179724259771,7.553083136713212e-08,0.0
