activity_variable,current_spearman_rho,kloppy_spearman_rho,frozen_phase4c_spearman_rho,current_vs_kloppy_abs_difference,current_vs_frozen_abs_difference
focal_absolute_path_m,0.7101382742245175,0.7101383436731257,0.7101382742245175,6.944860819757537e-08,0.0
full_defending_outfield_centroid_path_m,0.5226433174674034,0.5226432366465924,0.5226433174674034,8.082081104365813e-08,0.0
sum_defending_outfield_paths_m,0.5883049081684951,0.5883048455860088,0.5883049081684951,6.258248630430785e-08,0.0
ball_path_m,0.467133617764863,0.46713352837715416,0.467133617764863,8.938770884592273e-08,0.0
