period,frame_id,provider_time_s,kloppy_period_time_s,object_type,team_id,player_id,kloppy_player_id,is_goalkeeper,observed,x_norm,y_norm,x_m,y_m,provider_timestamp_ns,period_label,ball_state,ball_owning_team_id
1,10000,1685194212.6,0.0,player,DFL-CLU-00000G,DFL-OBJ-000191,DFL-OBJ-000191,False,False,,,,,1685194212600000000,firstHalf,alive,DFL-CLU-00000G
1,10000,1685194212.6,0.0,player,DFL-CLU-00000G,DFL-OBJ-J0117H,DFL-OBJ-J0117H,False,False,,,,,1685194212600000000,firstHalf,alive,DFL-CLU-00000G
1,10000,1685194212.6,0.0,player,DFL-CLU-00000G,DFL-OBJ-0027G6,DFL-OBJ-0027G6,False,True,0.5074285714285715,0.49205882352941177,0.78,-0.54,1685194212600000000,firstHalf,alive,DFL-CLU-00000G
1,10000,1685194212.6,0.0,player,DFL-CLU-00000G,DFL-OBJ-0002F5,DFL-OBJ-0002F5,False,True,0.4134285714285714,0.4711764705882353,-9.09,-1.96,1685194212600000000,firstHalf,alive,DFL-CLU-00000G
1,10000,1685194212.6,0.0,player,DFL-CLU-00000G,DFL-OBJ-0026PM,DFL-OBJ-0026PM,False,True,0.504,0.9885294117647059,0.42,33.22,1685194212600000000,firstHalf,alive,DFL-CLU-00000G
1,10000,1685194212.6,0.0,player,DFL-CLU-00000G,DFL-OBJ-0002AU,DFL-OBJ-0002AU,False,True,0.5010476190476191,0.17838235294117646,0.11,-21.87,1685194212600000000,firstHalf,alive,DFL-CLU-00000G
1,10000,1685194212.6,0.0,player,DFL-CLU-00000G,DFL-OBJ-J015S4,DFL-OBJ-J015S4,False,False,,,,,1685194212600000000,firstHalf,alive,DFL-CLU-00000G
1,10000,1685194212.6,0.0,player,DFL-CLU-00000G,DFL-OBJ-0027KL,DFL-OBJ-0027KL,False,True,0.3471428571428572,0.5152941176470588,-16.05,1.04,1685194212600000000,firstHalf,alive,DFL-CLU-00000G
1,10000,1685194212.6,0.0,player,DFL-CLU-00000G,DFL-OBJ-0027G0,DFL-OBJ-0027G0,False,True,0.3780952380952381,0.2227941176470588,-12.8,-18.85,1685194212600000000,firstHalf,alive,DFL-CLU-00000G
1,10000,1685194212.6,0.0,player,DFL-CLU-00000G,DFL-OBJ-J017RE,DFL-OBJ-J017RE,False,True,0.3021904761904762,0.6333823529411765,-20.77,9.07,1685194212600000000,firstHalf,alive,DFL-CLU-00000G
1,10000,1685194212.6,0.0,player,DFL-CLU-00000G,DFL-OBJ-J01APO,DFL-OBJ-J01APO,False,True,0.3685714285714286,0.878235294117647,-13.8,25.72,1685194212600000000,firstHalf,alive,DFL-CLU-00000G
1,10000,1685194212.6,0.0,player,DFL-CLU-00000G,DFL-OBJ-J01B8N,DFL-OBJ-J01B8N,False,True,0.5049523809523809,0.6508823529411765,0.52,10.26,1685194212600000000,firstHalf,alive,DFL-CLU-00000G
1,10000,1685194212.6,0.0,player,DFL-CLU-00000G,DFL-OBJ-002GIC,DFL-OBJ-002GIC,False,False,,,,,1685194212600000000,firstHalf,alive,DFL-CLU-00000G
1,10000,1685194212.6,0.0,player,DFL-CLU-00000G,DFL-OBJ-002GCR,DFL-OBJ-002GCR,False,False,,,,,1685194212600000000,firstHalf,alive,DFL-CLU-00000G
1,10000,1685194212.6,0.0,player,DFL-CLU-00000G,DFL-OBJ-J01N65,DFL-OBJ-J01N65,False,False,,,,,1685194212600000000,firstHalf,alive,DFL-CLU-00000G
1,10000,1685194212.6,0.0,ball,,,,False,True,0.5017142857142857,0.4975,0.18,-0.17,1685194212600000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-000008,DFL-OBJ-0027AX,DFL-OBJ-0027AX,False,True,0.564952380952381,0.5750000000000001,6.82,5.1,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-000008,DFL-OBJ-0000M0,DFL-OBJ-0000M0,False,False,,,,,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-000008,DFL-OBJ-00012X,DFL-OBJ-00012X,False,True,0.6243809523809524,0.2977941176470588,13.06,-13.75,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-000008,DFL-OBJ-000270,DFL-OBJ-000270,False,True,0.47828571428571426,0.39720588235294113,-2.28,-6.99,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-000008,DFL-OBJ-0002HE,DFL-OBJ-0002HE,True,True,0.9508571428571428,0.5038235294117647,47.34,0.26,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-000008,DFL-OBJ-0002BO,DFL-OBJ-0002BO,False,True,0.6640952380952382,0.8070588235294117,17.23,20.88,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
1,10001,1685194212.64,0.04,player,DFL-CLU-000008,DFL-OBJ-0027V2,DFL-OBJ-0027V2,False,False,,,,,1685194212640000000,firstHalf,alive,DFL-CLU-00000G
