check,pass
frozen_hashes,True
unique_observation_ids,True
complete_ten_rows,True
complete_rank_vectors,True
unique_defenders,True
goalkeeper_exclusion_inherited,True
complete_support_no_interpolation,True
finite_primary_geometry_and_design,True
finite_four_second_subset,True
bootstrap_valid,True
translation_rotation_reflection_invariance,True
positive_controls,True
game2_not_accessed,True
game3_not_accessed,True
