rank,response_endpoint_rms_m,response_path_m,signed_mean_spacing_change_m,whole_unit_response_endpoint_rms_m
1,2.195862256280913,2.406122321221171,0.003244453152505199,2.4184195260650667
2,2.188249624870207,2.3970862274055156,0.054504412771231775,2.4184195260650667
3,2.1812110789905303,2.3898470656567796,0.06666392487238158,2.4184195260650667
4,2.187390357920833,2.389437795337747,0.030657421494048067,2.4184195260650667
5,2.1926021805160816,2.389437795337747,0.05251140613700914,2.4184195260650667
6,2.195562697685243,2.4073676815786733,0.07219076688538924,2.4184195260650667
7,2.231595691266419,2.4240696743719563,0.05111371506521895,2.4184195260650667
8,2.205654625496572,2.407644426678582,0.0057256305986107415,2.4184195260650667
9,2.2226104286249884,2.4387873713059163,-0.04973845663676278,2.4184195260650667
10,2.2369639606241973,2.424560030960086,-0.10300748088755125,2.4184195260650667
