match_id,period,time_period_s,attacker_key,reason
J03WMX,2,46.0,DFL-OBJ-0026ZI,attacker_continuous_edge_support
J03WMX,2,46.0,DFL-OBJ-0027V2,attacker_continuous_edge_support
J03WMX,2,46.0,DFL-OBJ-002G89,attacker_continuous_edge_support
J03WMX,2,46.0,DFL-OBJ-002GBW,attacker_continuous_edge_support
J03WMX,2,46.0,DFL-OBJ-J01DVC,attacker_continuous_edge_support
J03WMX,2,50.0,DFL-OBJ-0026ZI,attacker_continuous_edge_support
J03WMX,2,50.0,DFL-OBJ-0027V2,attacker_continuous_edge_support
J03WMX,2,50.0,DFL-OBJ-002G89,attacker_continuous_edge_support
J03WMX,2,50.0,DFL-OBJ-002GBW,attacker_continuous_edge_support
J03WMX,2,50.0,DFL-OBJ-J01DVC,attacker_continuous_edge_support
J03WMX,2,54.0,DFL-OBJ-0026ZI,attacker_continuous_edge_support
J03WMX,2,54.0,DFL-OBJ-0027V2,attacker_continuous_edge_support
J03WMX,2,54.0,DFL-OBJ-002G89,attacker_continuous_edge_support
J03WMX,2,54.0,DFL-OBJ-002GBW,attacker_continuous_edge_support
J03WMX,2,54.0,DFL-OBJ-J01DVC,attacker_continuous_edge_support
J03WMX,2,58.0,DFL-OBJ-0026ZI,attacker_continuous_edge_support
J03WMX,2,58.0,DFL-OBJ-0027V2,attacker_continuous_edge_support
J03WMX,2,58.0,DFL-OBJ-002G89,attacker_continuous_edge_support
J03WMX,2,58.0,DFL-OBJ-002GBW,attacker_continuous_edge_support
J03WMX,2,58.0,DFL-OBJ-J01DVC,attacker_continuous_edge_support
J03WMX,2,62.0,,possession_or_open_play
J03WMX,2,66.0,DFL-OBJ-0000RP,attacker_continuous_edge_support
J03WMX,2,66.0,DFL-OBJ-000191,attacker_continuous_edge_support
J03WMX,2,66.0,DFL-OBJ-002GCR,attacker_continuous_edge_support
J03WMX,2,66.0,DFL-OBJ-J015S4,attacker_continuous_edge_support
J03WMX,2,66.0,DFL-OBJ-J01N65,attacker_continuous_edge_support
J03WMX,2,70.0,DFL-OBJ-0000RP,attacker_continuous_edge_support
J03WMX,2,70.0,DFL-OBJ-000191,attacker_continuous_edge_support
J03WMX,2,70.0,DFL-OBJ-002GCR,attacker_continuous_edge_support
J03WMX,2,70.0,DFL-OBJ-J015S4,attacker_continuous_edge_support
J03WMX,2,70.0,DFL-OBJ-J01N65,attacker_continuous_edge_support
J03WMX,2,74.0,DFL-OBJ-0000RP,attacker_continuous_edge_support
J03WMX,2,74.0,DFL-OBJ-000191,attacker_continuous_edge_support
J03WMX,2,74.0,DFL-OBJ-002GCR,attacker_continuous_edge_support
J03WMX,2,74.0,DFL-OBJ-J015S4,attacker_continuous_edge_support
J03WMX,2,74.0,DFL-OBJ-J01N65,attacker_continuous_edge_support
J03WMX,2,78.0,DFL-OBJ-0000RP,attacker_continuous_edge_support
J03WMX,2,78.0,DFL-OBJ-000191,attacker_continuous_edge_support
J03WMX,2,78.0,DFL-OBJ-002GCR,attacker_continuous_edge_support
J03WMX,2,78.0,DFL-OBJ-J015S4,attacker_continuous_edge_support
J03WMX,2,78.0,DFL-OBJ-J01N65,attacker_continuous_edge_support
J03WMX,2,82.0,DFL-OBJ-0000RP,attacker_continuous_edge_support
J03WMX,2,82.0,DFL-OBJ-000191,attacker_continuous_edge_support
J03WMX,2,82.0,DFL-OBJ-002GCR,attacker_continuous_edge_support
J03WMX,2,82.0,DFL-OBJ-J015S4,attacker_continuous_edge_support
J03WMX,2,82.0,DFL-OBJ-J01N65,attacker_continuous_edge_support
J03WMX,2,86.0,DFL-OBJ-0000RP,attacker_continuous_edge_support
J03WMX,2,86.0,DFL-OBJ-000191,attacker_continuous_edge_support
J03WMX,2,86.0,DFL-OBJ-002GCR,attacker_continuous_edge_support
J03WMX,2,86.0,DFL-OBJ-J015S4,attacker_continuous_edge_support
J03WMX,2,86.0,DFL-OBJ-J01N65,attacker_continuous_edge_support
J03WMX,2,90.0,,possession_or_open_play
J03WMX,2,94.0,,possession_or_open_play
J03WMX,2,98.0,DFL-OBJ-0026ZI,attacker_continuous_edge_support
J03WMX,2,98.0,DFL-OBJ-0027V2,attacker_continuous_edge_support
J03WMX,2,98.0,DFL-OBJ-002G89,attacker_continuous_edge_support
J03WMX,2,98.0,DFL-OBJ-002GBW,attacker_continuous_edge_support
J03WMX,2,98.0,DFL-OBJ-J01DVC,attacker_continuous_edge_support
J03WMX,2,102.0,DFL-OBJ-0000RP,attacker_continuous_edge_support
J03WMX,2,102.0,DFL-OBJ-000191,attacker_continuous_edge_support
J03WMX,2,102.0,DFL-OBJ-002GCR,attacker_continuous_edge_support
J03WMX,2,102.0,DFL-OBJ-J015S4,attacker_continuous_edge_support
J03WMX,2,102.0,DFL-OBJ-J01N65,attacker_continuous_edge_support
J03WMX,2,106.0,DFL-OBJ-0026ZI,attacker_continuous_edge_support
J03WMX,2,106.0,DFL-OBJ-0027V2,attacker_continuous_edge_support
J03WMX,2,106.0,DFL-OBJ-002G89,attacker_continuous_edge_support
J03WMX,2,106.0,DFL-OBJ-002GBW,attacker_continuous_edge_support
J03WMX,2,106.0,DFL-OBJ-J01DVC,attacker_continuous_edge_support
J03WMX,2,110.0,DFL-OBJ-0026ZI,attacker_continuous_edge_support
J03WMX,2,110.0,DFL-OBJ-0027V2,attacker_continuous_edge_support
J03WMX,2,110.0,DFL-OBJ-002G89,attacker_continuous_edge_support
J03WMX,2,110.0,DFL-OBJ-002GBW,attacker_continuous_edge_support
J03WMX,2,110.0,DFL-OBJ-J01DVC,attacker_continuous_edge_support
J03WMX,2,114.0,DFL-OBJ-0026ZI,attacker_continuous_edge_support
J03WMX,2,114.0,DFL-OBJ-0027V2,attacker_continuous_edge_support
J03WMX,2,114.0,DFL-OBJ-002G89,attacker_continuous_edge_support
J03WMX,2,114.0,DFL-OBJ-002GBW,attacker_continuous_edge_support
J03WMX,2,114.0,DFL-OBJ-J01DVC,attacker_continuous_edge_support
J03WMX,2,118.0,DFL-OBJ-0000RP,attacker_continuous_edge_support
J03WMX,2,118.0,DFL-OBJ-000191,attacker_continuous_edge_support
J03WMX,2,118.0,DFL-OBJ-002GCR,attacker_continuous_edge_support
J03WMX,2,118.0,DFL-OBJ-J015S4,attacker_continuous_edge_support
J03WMX,2,118.0,DFL-OBJ-J01N65,attacker_continuous_edge_support
J03WMX,2,122.0,,possession_or_open_play
J03WMX,2,126.0,DFL-OBJ-0000RP,attacker_continuous_edge_support
J03WMX,2,126.0,DFL-OBJ-000191,attacker_continuous_edge_support
J03WMX,2,126.0,DFL-OBJ-002GCR,attacker_continuous_edge_support
J03WMX,2,126.0,DFL-OBJ-J015S4,attacker_continuous_edge_support
J03WMX,2,126.0,DFL-OBJ-J01N65,attacker_continuous_edge_support
J03WMX,2,130.0,DFL-OBJ-0000RP,attacker_continuous_edge_support
J03WMX,2,130.0,DFL-OBJ-000191,attacker_continuous_edge_support
J03WMX,2,130.0,DFL-OBJ-002GCR,attacker_continuous_edge_support
J03WMX,2,130.0,DFL-OBJ-J015S4,attacker_continuous_edge_support
J03WMX,2,130.0,DFL-OBJ-J01N65,attacker_continuous_edge_support
J03WMX,2,134.0,DFL-OBJ-0000RP,attacker_continuous_edge_support
J03WMX,2,134.0,DFL-OBJ-000191,attacker_continuous_edge_support
J03WMX,2,134.0,DFL-OBJ-002GCR,attacker_continuous_edge_support
J03WMX,2,134.0,DFL-OBJ-J015S4,attacker_continuous_edge_support
J03WMX,2,134.0,DFL-OBJ-J01N65,attacker_continuous_edge_support
J03WMX,2,138.0,DFL-OBJ-0000RP,attacker_continuous_edge_support
J03WMX,2,138.0,DFL-OBJ-000191,attacker_continuous_edge_support
J03WMX,2,138.0,DFL-OBJ-002GCR,attacker_continuous_edge_support
J03WMX,2,138.0,DFL-OBJ-J015S4,attacker_continuous_edge_support
J03WMX,2,138.0,DFL-OBJ-J01N65,attacker_continuous_edge_support
J03WMX,2,142.0,DFL-OBJ-0000RP,attacker_continuous_edge_support
J03WMX,2,142.0,DFL-OBJ-000191,attacker_continuous_edge_support
J03WMX,2,142.0,DFL-OBJ-002GCR,attacker_continuous_edge_support
J03WMX,2,142.0,DFL-OBJ-J015S4,attacker_continuous_edge_support
J03WMX,2,142.0,DFL-OBJ-J01N65,attacker_continuous_edge_support
J03WMX,2,146.0,DFL-OBJ-0000RP,attacker_continuous_edge_support
J03WMX,2,146.0,DFL-OBJ-000191,attacker_continuous_edge_support
J03WMX,2,146.0,DFL-OBJ-002GCR,attacker_continuous_edge_support
J03WMX,2,146.0,DFL-OBJ-J015S4,attacker_continuous_edge_support
J03WMX,2,146.0,DFL-OBJ-J01N65,attacker_continuous_edge_support
J03WMX,2,150.0,DFL-OBJ-0000RP,attacker_continuous_edge_support
J03WMX,2,150.0,DFL-OBJ-000191,attacker_continuous_edge_support
J03WMX,2,150.0,DFL-OBJ-002GCR,attacker_continuous_edge_support
J03WMX,2,150.0,DFL-OBJ-J015S4,attacker_continuous_edge_support
J03WMX,2,150.0,DFL-OBJ-J01N65,attacker_continuous_edge_support
J03WMX,2,154.0,DFL-OBJ-0026ZI,attacker_continuous_edge_support
J03WMX,2,154.0,DFL-OBJ-0027V2,attacker_continuous_edge_support
J03WMX,2,154.0,DFL-OBJ-002G89,attacker_continuous_edge_support
J03WMX,2,154.0,DFL-OBJ-002GBW,attacker_continuous_edge_support
J03WMX,2,154.0,DFL-OBJ-J01DVC,attacker_continuous_edge_support
J03WMX,2,158.0,DFL-OBJ-0000RP,attacker_continuous_edge_support
J03WMX,2,158.0,DFL-OBJ-000191,attacker_continuous_edge_support
J03WMX,2,158.0,DFL-OBJ-002GCR,attacker_continuous_edge_support
J03WMX,2,158.0,DFL-OBJ-J015S4,attacker_continuous_edge_support
J03WMX,2,158.0,DFL-OBJ-J01N65,attacker_continuous_edge_support
J03WMX,2,162.0,DFL-OBJ-0000RP,attacker_continuous_edge_support
J03WMX,2,162.0,DFL-OBJ-000191,attacker_continuous_edge_support
J03WMX,2,162.0,DFL-OBJ-002GCR,attacker_continuous_edge_support
J03WMX,2,162.0,DFL-OBJ-J015S4,attacker_continuous_edge_support
