match_id,method,rank,estimate
J03WR9,primary,6,-0.012042568149947745
J03WR9,primary,7,-0.02001401466975218
J03WR9,primary,8,-0.033787004615363964
J03WR9,primary,9,-0.018454940495359277
J03WR9,primary,10,-0.02086994262605158
J03WR9,sensitivity,1,0.10623861905976789
J03WR9,sensitivity,2,0.0267069698247233
J03WR9,sensitivity,3,0.02112318750148781
J03WR9,sensitivity,4,-0.0029192713065784096
J03WR9,sensitivity,5,-0.013784862681059523
J03WR9,sensitivity,6,-0.012029786887839913
J03WR9,sensitivity,7,-0.01971374449281453
J03WR9,sensitivity,8,-0.033135117251216206
J03WR9,sensitivity,9,-0.018086914436903405
J03WR9,sensitivity,10,-0.02037127667853332
