heldout_match,model,alpha,inner_macro_mae_by_alpha,retained_features,solver
J03WOH,E0,100.0,"{""0.01"": 0.9375683455046281, ""0.1"": 0.9375683422143556, ""1.0"": 0.9375683093128607, ""10.0"": 0.9375679804207336, ""100.0"": 0.9375647362824776}","[""attacker_path_exposure_m"", ""attacker_path_prior_m""]",solve
J03WOH,E1,100.0,"{""0.01"": 0.9168811930459215, ""0.1"": 0.9168811598638071, ""1.0"": 0.9168808280555294, ""10.0"": 0.9168775166860348, ""100.0"": 0.9168449480357069}","[""attacker_path_exposure_m"", ""attacker_path_prior_m"", ""attacker_goalward_displacement_m"", ""attacker_outward_displacement_m"", ""attacker_minus_unit_goalward_m"", ""attacker_minus_unit_outward_m"", ""defending_unit_depth_m"", ""defending_unit_width_m"", ""attacker_ball_distance_start_m"", ""ball_minus_unit_goalward_m"", ""ball_minus_unit_outward_m"", ""attacker_ball_distance_change_m""]",solve
J03WOH,E1_minus_movement_direction,100.0,"{""0.01"": 0.9198913928468547, ""0.1"": 0.9198913594557863, ""1.0"": 0.9198910255567742, ""10.0"": 0.9198876918700676, ""100.0"": 0.9198546918104425}","[""attacker_path_exposure_m"", ""attacker_path_prior_m"", ""attacker_minus_unit_goalward_m"", ""attacker_minus_unit_outward_m"", ""defending_unit_depth_m"", ""defending_unit_width_m"", ""attacker_ball_distance_start_m"", ""ball_minus_unit_goalward_m"", ""ball_minus_unit_outward_m"", ""attacker_ball_distance_change_m""]",solve
J03WOH,E1_minus_start_position,100.0,"{""0.01"": 0.9268927249176601, ""0.1"": 0.9268927098109138, ""1.0"": 0.926892558748114, ""10.0"": 0.9268910522079613, ""100.0"": 0.926876161327579}","[""attacker_path_exposure_m"", ""attacker_path_prior_m"", ""attacker_goalward_displacement_m"", ""attacker_outward_displacement_m"", ""attacker_ball_distance_start_m"", ""ball_minus_unit_goalward_m"", ""ball_minus_unit_outward_m"", ""attacker_ball_distance_change_m""]",solve
J03WOH,E1_minus_ball_geometry,100.0,"{""0.01"": 0.9267422593230132, ""0.1"": 0.9267422438583557, ""1.0"": 0.9267420892181654, ""10.0"": 0.9267405436861296, ""100.0"": 0.9267253452852633}","[""attacker_path_exposure_m"", ""attacker_path_prior_m"", ""attacker_goalward_displacement_m"", ""attacker_outward_displacement_m"", ""attacker_minus_unit_goalward_m"", ""attacker_minus_unit_outward_m"", ""defending_unit_depth_m"", ""defending_unit_width_m""]",solve
J03WOY,E0,100.0,"{""0.01"": 0.9306515220923327, ""0.1"": 0.9306515177708649, ""1.0"": 0.9306514745580644, ""10.0"": 0.9306510437775314, ""100.0"": 0.9306467948191806}","[""attacker_path_exposure_m"", ""attacker_path_prior_m""]",solve
J03WOY,E1,100.0,"{""0.01"": 0.9113082713169476, ""0.1"": 0.911308240337975, ""1.0"": 0.9113079305598725, ""10.0"": 0.9113048358663808, ""100.0"": 0.9112744615047025}","[""attacker_path_exposure_m"", ""attacker_path_prior_m"", ""attacker_goalward_displacement_m"", ""attacker_outward_displacement_m"", ""attacker_minus_unit_goalward_m"", ""attacker_minus_unit_outward_m"", ""defending_unit_depth_m"", ""defending_unit_width_m"", ""attacker_ball_distance_start_m"", ""ball_minus_unit_goalward_m"", ""ball_minus_unit_outward_m"", ""attacker_ball_distance_change_m""]",solve
J03WOY,E1_minus_movement_direction,100.0,"{""0.01"": 0.9144153779323849, ""0.1"": 0.9144153460069057, ""1.0"": 0.9144150267629336, ""10.0"": 0.9144118358661517, ""100.0"": 0.9143803442264833}","[""attacker_path_exposure_m"", ""attacker_path_prior_m"", ""attacker_minus_unit_goalward_m"", ""attacker_minus_unit_outward_m"", ""defending_unit_depth_m"", ""defending_unit_width_m"", ""attacker_ball_distance_start_m"", ""ball_minus_unit_goalward_m"", ""ball_minus_unit_outward_m"", ""attacker_ball_distance_change_m""]",solve
J03WOY,E1_minus_start_position,100.0,"{""0.01"": 0.9197599798045712, ""0.1"": 0.9197599646453661, ""1.0"": 0.9197598130582142, ""10.0"": 0.9197583003135502, ""100.0"": 0.9197434213681787}","[""attacker_path_exposure_m"", ""attacker_path_prior_m"", ""attacker_goalward_displacement_m"", ""attacker_outward_displacement_m"", ""attacker_ball_distance_start_m"", ""ball_minus_unit_goalward_m"", ""ball_minus_unit_outward_m"", ""attacker_ball_distance_change_m""]",solve
J03WOY,E1_minus_ball_geometry,100.0,"{""0.01"": 0.9217114285628331, ""0.1"": 0.9217114125995812, ""1.0"": 0.921711252973849, ""10.0"": 0.9217096573946116, ""100.0"": 0.9216939025452335}","[""attacker_path_exposure_m"", ""attacker_path_prior_m"", ""attacker_goalward_displacement_m"", ""attacker_outward_displacement_m"", ""attacker_minus_unit_goalward_m"", ""attacker_minus_unit_outward_m"", ""defending_unit_depth_m"", ""defending_unit_width_m""]",solve
J03WPY,E0,100.0,"{""0.01"": 0.9355689271635268, ""0.1"": 0.9355689229270752, ""1.0"": 0.9355688805645895, ""10.0"": 0.935568457142554, ""100.0"": 0.935564283989342}","[""attacker_path_exposure_m"", ""attacker_path_prior_m""]",solve
J03WPY,E1,100.0,"{""0.01"": 0.9151441024308055, ""0.1"": 0.9151440708711855, ""1.0"": 0.9151437554523193, ""10.0"": 0.9151406068764897, ""100.0"": 0.9151097185099434}","[""attacker_path_exposure_m"", ""attacker_path_prior_m"", ""attacker_goalward_displacement_m"", ""attacker_outward_displacement_m"", ""attacker_minus_unit_goalward_m"", ""attacker_minus_unit_outward_m"", ""defending_unit_depth_m"", ""defending_unit_width_m"", ""attacker_ball_distance_start_m"", ""ball_minus_unit_goalward_m"", ""ball_minus_unit_outward_m"", ""attacker_ball_distance_change_m""]",solve
