model,match_id,n,MAE_m,RMSE_m
E0,J03WMX,10850,0.9211813218501717,1.2199654667014208
E0,J03WN1,4268,0.9137318749785107,1.2372518503416976
E0,J03WOH,9853,0.9061848491401883,1.20724236173735
E0,J03WOY,10097,0.946912913990626,1.2631061745635617
E0,J03WPY,10913,0.9181050613760652,1.2560174678017333
E0,J03WQQ,8682,0.9754647012917512,1.293101751766122
E0,J03WR9,10142,0.9495400648144112,1.2622893253265157
E1,J03WMX,10850,0.8958091414241143,1.1807147476765694
E1,J03WN1,4268,0.8954445952206994,1.2138424930278613
E1,J03WOH,9853,0.8939041077332921,1.1837577677016193
E1,J03WOY,10097,0.9238915316888621,1.227602855983887
E1,J03WPY,10913,0.9047027241715399,1.2314957921077254
E1,J03WQQ,8682,0.9505911011625866,1.2533751887710765
E1,J03WR9,10142,0.9276424969505697,1.227532796266173
E1_minus_ball_geometry,J03WMX,10850,0.9086811652114334,1.2004034009508255
E1_minus_ball_geometry,J03WN1,4268,0.9031074050634963,1.2247561391904442
E1_minus_ball_geometry,J03WOH,9853,0.9045275199041893,1.1994968485958322
E1_minus_ball_geometry,J03WOY,10097,0.9323174182831167,1.2440641243021824
E1_minus_ball_geometry,J03WPY,10913,0.9092139609590811,1.2434637478222057
E1_minus_ball_geometry,J03WQQ,8682,0.9684615607528841,1.2805001785788106
E1_minus_ball_geometry,J03WR9,10142,0.937052211583016,1.2442959931768522
E1_minus_movement_direction,J03WMX,10850,0.8997867142480264,1.185652692096205
E1_minus_movement_direction,J03WN1,4268,0.9010215405004303,1.2190536126845826
E1_minus_movement_direction,J03WOH,9853,0.8956177475214486,1.1843035644562188
E1_minus_movement_direction,J03WOY,10097,0.9251247045868566,1.2305867814480969
E1_minus_movement_direction,J03WPY,10913,0.9082809225268821,1.2356526359021465
E1_minus_movement_direction,J03WQQ,8682,0.951046387594394,1.2553680040551023
E1_minus_movement_direction,J03WR9,10142,0.9309849513882655,1.2320036493548054
E1_minus_start_position,J03WMX,10850,0.9081561707444555,1.1995065523872905
E1_minus_start_position,J03WN1,4268,0.9041369072250766,1.224635761013695
E1_minus_start_position,J03WOH,9853,0.900218154432335,1.196148800744093
E1_minus_start_position,J03WOY,10097,0.940994876886935,1.2486971045914765
E1_minus_start_position,J03WPY,10913,0.9090570129491479,1.2404835674425732
E1_minus_start_position,J03WQQ,8682,0.9610810762010609,1.2699897922364276
E1_minus_start_position,J03WR9,10142,0.935709317093348,1.2421165254533146
