threshold_mps,removed_n,min,q1,median,q3,max
0.0,0,,,,,
0.25,27339,0.0,0.0038431014442166234,0.021611310055382332,0.08111609873793953,4.118491938760805
0.5,30581,0.0,0.004433945499310088,0.032147773633668386,0.11705696360469031,4.118491938760805
1.0,33588,0.0,0.005293582701261179,0.043913610815919046,0.16860378462972778,0.9999899068484925
