episode_id,reason,duration_s,path_m,displacement_m,delta_x_m,delta_y_m,displacement_path_ratio,path_displacement_ratio,peak_speed_mps,mean_speed_mps,start_speed_mps,end_speed_mps,max_chord_deviation_m,signed_heading_change_deg,absolute_heading_change_deg,heading_changes_ge45_count,team,player,period,block_id,start_frame,end_frame,start_s,end_s,start_x_m,start_y_m,end_x_m,end_y_m,method_b_overlap,diag_short,diag_tiny_path,diag_tiny_displacement,diag_long,diag_low_displacement_path_ratio,diag_direction_change,diag_lower_speed_meaningful_displacement,diag_fragmentation_any,diag_merging_any
P000_000001,earliest_fragmentation,1.1199999999999999,3.024683068358527,3.0212021329387198,-0.4755000000000038,-2.983548571428571,0.9988491569724374,1.001152168993215,2.8468855243541076,2.688373596018175,2.345757575563898,2.744271175920737,0.0567951702263801,-9.983453547857597,10.334903422669145,0,Home,1,1,Home_1_1_0,13,41,0.52,1.64,34.1694,43.674845714285716,33.6939,40.691297142857145,False,True,False,False,False,False,False,True,True,False
P000_001006,chronological_3_6,2.519999999999982,0.35000000252275465,0.3457589398817667,-0.33585000000000065,-0.082182857142854,0.987882678255946,1.0122659522337678,0.21246190835098525,0.1372474582410324,0.03383726435717722,0.02091235354063084,0.017340584171299613,0.0,0.0,0,Home,2,1,Home_2_1_24,39499,39562,1579.96,1582.48,41.1336,67.80144,40.79775,67.71925714285715,False,False,True,True,False,False,False,False,True,False
P000_006404,longest_merging_risk,13.520000000000437,0.7915487308641006,0.780981289625364,-0.7291499999999989,-0.2797714285714292,0.98664966435206,1.0135309787559774,1.3364799352591394,0.059974418990671796,0.5426097662399006,0.0,0.04725819673128745,-20.52499562467229,30.9979126548345,0,Home,4,2,Home_4_2_79,144351,144689,5774.04,5787.56,12.72855,63.35997142857143,11.999400000000001,63.0802,False,False,True,False,True,False,False,False,True,True
P000_008357,longest_merging_risk,51.16,53.55020820817825,53.39160734868678,-45.46095,27.999388571428565,0.9970382774446945,1.0029705204126125,1.4753123778530288,1.0466685393527784,0.980525167100207,0.1472068558808922,0.28043175747913424,-17.326536830622842,166.00818463425293,0,Home,6,1,Home_6_1_1,2383,3662,95.32,146.48,89.47815,10.106645714285715,44.0172,38.10603428571428,False,False,False,False,True,False,False,True,False,True
P000_009936,chronological_1_6,1.4399999999999977,1.404483768445202,1.393850353400791,-0.09224999999999994,1.3907942857142856,0.992428951274971,1.0076288067929724,1.2724050503841142,0.9832386134228726,1.2677344855163826,0.7264454284115943,0.07471550506750037,-23.865429787685187,23.865429787685187,0,Home,7,1,Home_7_1_7,11491,11527,459.64,461.08,47.98035,44.3428,47.8881,45.73359428571428,False,True,False,False,False,False,False,False,True,False
P000_010489,chronological_5_6,3.480000000000018,11.847601393350272,11.715572971309319,-6.3246,9.86174857142857,0.9888561053282011,1.0112694805763476,4.0998981173603415,3.4098878954216243,3.8800999633321385,1.104623402893257,0.3716414814786507,-53.618948493480026,75.97760981512684,0,Home,7,1,Home_7_1_39,59432,59519,2377.28,2380.76,30.02295,56.922897142857146,23.69835,66.78464571428572,False,False,False,False,False,False,False,True,False,False
P000_012800,chronological_1_6,1.599999999999909,2.35064819237516,2.3230550566226444,-1.9603500000000054,1.2464400000000069,0.9882614779012786,1.0118779516972067,1.5723013631229898,1.4697790021367714,1.4947342782260309,1.291118357180399,0.15307927161960014,-30.238615243674936,30.238615243674936,0,Home,8,2,Home_8_2_54,84412,84452,3376.48,3378.08,68.8224,61.97665714285714,66.86205,63.22309714285715,False,False,False,False,False,False,False,False,False,False
P000_014493,earliest_fragmentation,1.2400000000002365,0.16084316113723462,0.1578770625828695,0.06479999999999819,0.14396571428571292,0.9815590632925052,1.0187873938483512,0.2634716806998799,0.12941161233654513,0.1200925663387652,0.007883397692875849,0.008895308285331135,0.0,0.0,0,Home,9,2,Home_9_2_45,71277,71308,2851.08,2852.32,52.14285,33.98377714285714,52.20765,34.127742857142856,False,True,True,True,False,False,False,False,True,False
P000_015394,chronological_5_6,8.079999999999927,25.117596174918514,24.364660048681245,-23.411999999999995,-6.746474285714292,0.9700235595399402,1.030902796293192,5.619985480163791,3.093644335489405,0.06989573138119284,1.293677522372092,2.501277050365123,25.349661398955302,109.77559020860308,0,Home,9,2,Home_9_2_72,132450,132652,5298.0,5306.08,39.38475,45.33190857142857,15.972750000000001,38.58543428571428,False,False,False,False,True,False,False,False,False,True
P000_017012,chronological_3_6,1.0,1.5210549468618852,1.511522207081327,0.8821499999999993,-1.227400000000003,0.9937328103759661,1.0063067150028615,1.5570356454751304,1.5180379016039278,1.4426117701555425,1.5479941963367043,0.0749454101193996,21.15905394105794,21.15905394105794,0,Home,10,2,Home_10_2_67,109170,109195,4366.8,4367.8,11.5065,35.5334,12.38865,34.306,False,True,False,False,False,False,False,False,True,False
P000_020374,earliest_fragmentation,2.600000000000364,0.596622338260655,0.5781715801823996,-0.5424000000000007,0.20021142857142848,0.9690746442179062,1.0319122535777956,0.41124550118065034,0.2265208460186484,0.03481738071711171,0.4101612736577655,0.023053727894257556,0.0,0.0,0,Away,15,2,Away_15_2_45,71280,71345,2851.2,2853.8,40.3506,47.43174857142857,39.8082,47.63196,False,False,True,False,False,False,False,False,True,False
