threshold_mps,quantity,n,min,q1,median,q3,max
0.0,duration_s,38651,0.9999999999999964,1.319999999999709,1.8800000000001091,2.7599999999997635,51.16
0.0,path_m,38651,0.007601584885203605,1.3244118730167624,2.649950429211799,5.647292141260893,63.29229286803714
0.0,displacement_m,38651,0.001311064375197049,1.2966575503318283,2.5755875524625527,5.467873331818957,61.53374424638628
0.0,peak_speed_mps,38651,0.008935425940630093,1.0854538067899133,1.6643552116079825,3.20160802178419,56.29511723942216
0.0,displacement_path_ratio,38651,0.014701573034571853,0.962202278350584,0.9872112421553164,0.9972457402361647,1.0
0.25,duration_s,11592,1.0,3.2400000000002365,5.1599999999998545,8.2800000000002,53.960000000000036
0.25,path_m,11592,0.01373541499954632,3.841465082711245,8.605613632597077,16.946920191653984,113.44089270372098
0.25,displacement_m,11592,0.013676378041221505,3.5580185758304874,7.872099647068129,15.41754708675897,82.26767103165558
0.25,peak_speed_mps,11592,0.012708716677654493,1.4202942394884093,2.5747919600940015,3.865237649694081,56.29511723942216
0.25,displacement_path_ratio,11592,0.019533761801509304,0.8901555618246269,0.9502632810737857,0.9774253892677709,0.9999323103137351
0.5,duration_s,8311,1.0,4.079999999999927,6.6799999999993815,10.519999999999754,64.19999999999982
0.5,path_m,8311,0.06808808198237933,6.0654075979715,12.160780342084225,22.432212231954445,116.35552058559345
0.5,displacement_m,8311,0.029259097625828786,5.260198102376085,10.688458075925563,19.466524755441675,90.838304785278
0.5,peak_speed_mps,8311,0.09270955991700215,1.7954865116910588,3.0520040095822893,4.223158657643246,27.88704836435546
0.5,displacement_path_ratio,8311,0.014706774299949803,0.8530563566829872,0.9338375515707034,0.9703596318899603,0.9997985447008775
1.0,duration_s,5383,1.0,5.479999999999677,8.799999999999955,13.439999999999827,122.96000000000004
1.0,path_m,5383,0.4962683871210872,10.035033182096162,18.64280429533857,30.453637075117555,116.35552058559345
1.0,displacement_m,5383,0.004933467754197194,8.14676489304805,14.986890238247064,24.52866945717135,90.838304785278
1.0,peak_speed_mps,5383,0.11711302429377039,2.665491073716657,3.58711120502517,4.684021488302784,27.88704836435546
1.0,displacement_path_ratio,5383,0.0007647463408046739,0.7657404014024027,0.9046104345921897,0.9612645630428942,0.998823144683859
