estimand,estimate,interval_percent,ci_low,ci_high,attempted,valid
D1,0.1339401463279574,97.5,0.09577318925147817,0.17501547840297124,2000,2000
D2,0.11646565747362869,97.5,0.057026801131955615,0.16937297329622236,2000,2000
D3,0.09945475108908847,97.5,0.05382137542560858,0.15071957112274936,2000,2000
D4,0.08973805404270432,97.5,0.048925304214300296,0.13307087419143787,2000,2000
D5,0.08517177796226304,97.5,0.046501584118929476,0.1263328724881967,2000,2000
D6,0.08476362271978968,97.5,0.03725953934654658,0.12788027207411595,2000,2000
D7,0.08301363367922447,97.5,0.033264725576077424,0.12614740694923626,2000,2000
D8,0.08032118513751636,97.5,0.034780807776741245,0.11735964679642992,2000,2000
D9,0.083514513829582,97.5,0.027113992454836658,0.14266982637617204,2000,2000
D10,0.07233991151824583,97.5,0.010939801267524564,0.1274867598732125,2000,2000
